source_id,source_title,source_type,institution,year,url,notes
1,Vienna Convention on the Law of Treaties,treaty,United Nations,1969,https://legal.un.org/ilc/texts/instruments/english/conventions/1_1_1969.pdf,Core framework for reservations interpretation validity invalidity and jus cogens
2,Vienna Convention on the Law of Treaties treaty status page,treaty status,United Nations Treaty Collection,n.d.,https://treaties.un.org/pages/ViewDetails.aspx?chapter=23&clang=_en&mtdsg_no=XXIII-1&src=TREATY,Treaty status and depositary information
3,Reservations to the Convention on the Prevention and Punishment of the Crime of Genocide,ICJ advisory opinion,International Court of Justice,1951,https://www.icj-cij.org/case/12,Foundational advisory opinion on reservations and object and purpose
4,Advisory Opinion of 28 May 1951,ICJ opinion text,International Court of Justice,1951,https://www.icj-cij.org/node/103749,Official advisory opinion text page
5,Guide to Practice on Reservations to Treaties,ILC guide page,International Law Commission,2011,https://legal.un.org/ilc/texts/1_8.shtml,ILC guide page for reservations to treaties
6,Guide to Practice on Reservations to Treaties,ILC work product,International Law Commission,2011,https://legal.un.org/ilc/texts/instruments/english/draft_articles/1_8_2011.pdf,ILC guide to practice on reservations to treaties
7,Draft conclusions on subsequent agreements and subsequent practice in relation to treaty interpretation,ILC work product,International Law Commission,2018,https://legal.un.org/ilc/texts/instruments/english/draft_articles/1_11_2018.pdf,Role of subsequent agreements and subsequent practice in treaty interpretation
8,Draft conclusions with commentaries on subsequent agreements and subsequent practice in relation to treaty interpretation,ILC commentary,International Law Commission,2018,https://legal.un.org/ilc/texts/instruments/english/commentaries/1_11_2018.pdf,Commentary on subsequent agreements and subsequent practice
9,Draft conclusions on peremptory norms of general international law jus cogens,ILC work product,International Law Commission,2022,https://legal.un.org/ilc/texts/instruments/english/draft_articles/1_14_2022.pdf,Peremptory norms and treaty invalidity
10,United Nations Audiovisual Library Vienna Convention on the Law of Treaties,official legal resource,United Nations,n.d.,https://legal.un.org/avl/ha/vclt/vclt.html,Historical and legal overview of the Vienna Convention
