concept_id,concept_name,concept_category,description,article_section
1,Westphalian system,historical-symbolic framework,Shorthand for a state-centered order associated with territorial sovereignty and formal independence,why-westphalia-matters
2,Peace of Westphalia,historical settlement,1648 peace settlement including Osnabruck and Munster treaties,what-westphalia-was
3,Thirty Years War,historical context,Destructive early modern European conflict ending with Westphalian settlements,historical-context
4,Territorial sovereignty,sovereignty doctrine,Primary authority exercised within defined territorial boundaries,state-sovereignty
5,Sovereign equality,Charter principle,Juridical equality of states regardless of material power,sovereign-equality
6,Non-intervention,Charter principle,Prohibition on intervention in internal or external affairs of another state,territorial-authority
7,Domestic jurisdiction,Charter principle,Matters essentially within a state's domestic jurisdiction subject to Charter limits,territorial-authority
8,Statehood,statehood doctrine,Legal personality of a state associated with population territory government and capacity,montevideo-charter
9,Recognition,statehood doctrine,Legal and political act acknowledging statehood or government status,montevideo-charter
10,Westphalian myth,critical historiography,Caution against treating 1648 as a fully formed origin of modern sovereignty,westphalian-myth
11,Empire and globalization,critical method,Expansion of the European state system through colonization unequal treaties and global legal hierarchy,empire-global-order
12,Decolonization,legal transformation,Universalization and transformation of sovereign equality through anti-colonial struggle and UN membership,empire-global-order
13,Hybrid order,contemporary structure,State-centered legal order qualified by institutions rights global governance and interdependence,post-westphalian
