source_id,source_title,source_type,institution,year,url,notes
1,Peace Treaties of Westphalia October 14/24 1648,primary historical treaty texts,German History in Documents and Images,1648,https://ghdi.ghi-dc.org/pdf/eng/87.%20PeaceWestphalia_en.pdf,English translated excerpts of Osnabruck and Munster treaties
2,Peace Treaties of Westphalia subdocument,primary historical treaty texts,German History in Documents and Images,1648,https://ghdi.ghi-dc.org/sub_document.cfm?document_id=3778,HTML page for GHDI Westphalia materials
3,United Nations Charter full text,treaty,United Nations,1945,https://www.un.org/en/about-us/un-charter/full-text,Core Charter provisions on sovereign equality force and domestic jurisdiction
4,Chapter I Purposes and Principles Articles 1-2,official text,United Nations,1945,https://www.un.org/en/about-us/un-charter/chapter-1,UN Charter Article 2 provisions
5,Charter of the United Nations official PDF,treaty,United Nations Treaty Collection,1945,https://treaties.un.org/doc/publication/ctc/uncharter.pdf,Official PDF text of the UN Charter
6,Chapter I Article 2(1)-(5),official repertory,United Nations Repertory of Practice,2023,https://legal.un.org/repertory/art2.shtml,Official practice materials on Article 2 sovereign equality and related principles
7,Declaration on Principles of International Law concerning Friendly Relations and Cooperation among States,General Assembly declaration,United Nations,1970,https://docs.un.org/en/a/res/2625%28xxv%29,Official UN document page for A/RES/2625(XXV)
8,A/RES/2625(XXV) Friendly Relations Declaration PDF,General Assembly declaration,United Nations,1970,https://treaties.un.org/doc/source/docs/A_RES_2625-Eng.pdf,Official PDF of Friendly Relations Declaration
9,Declaration on Friendly Relations Audiovisual Library,official legal resource,United Nations,n.d.,https://legal.un.org/avl/ha/dpilfrcscun/dpilfrcscun.html,UN Audiovisual Library entry for Friendly Relations Declaration
10,Convention on Rights and Duties of States,regional treaty,Organization of American States,1933,https://www.oas.org/juridico/english/sigs/a-40.html,Montevideo Convention official OAS signatory page
11,Montevideo Convention UN Treaty Collection,registered treaty,United Nations Treaty Collection,1933,https://treaties.un.org/pages/showdetails.aspx?objid=0800000280166aef,UN Treaty Collection registration page for Montevideo Convention
