source_id,source_title,source_type,institution,year,url,notes
un-charter-1945,Charter of the United Nations,treaty,United Nations,1945,https://www.un.org/en/about-us/un-charter/full-text,Framework for the prohibition on force and collective security context.
geneva-conventions-1949,Geneva Conventions of 1949,treaty,International Committee of the Red Cross,1949,https://www.icrc.org/en/law-and-policy/geneva-conventions-and-their-commentaries,Foundational treaty framework for protection in armed conflict.
additional-protocol-i-1977,Additional Protocol I to the Geneva Conventions,treaty,International Committee of the Red Cross,1977,https://ihl-databases.icrc.org/en/ihl-treaties/api-1977,"Key source for distinction, proportionality, precautions, and protection of civilians."
additional-protocol-ii-1977,Additional Protocol II to the Geneva Conventions,treaty,International Committee of the Red Cross,1977,https://ihl-databases.icrc.org/en/ihl-treaties/apii-1977,Treaty framework for certain non-international armed conflicts.
icrc-customary-ihl-rule-1,Customary IHL Rule 1: The Principle of Distinction between Civilians and Combatants,customary_rule,International Committee of the Red Cross,2005,https://ihl-databases.icrc.org/en/customary-ihl/v1/rule1,Core distinction rule for targeting.
icrc-customary-ihl-rule-7,Customary IHL Rule 7: The Principle of Distinction between Civilian Objects and Military Objectives,customary_rule,International Committee of the Red Cross,2005,https://ihl-databases.icrc.org/en/customary-ihl/v1/rule7,Core distinction rule for objects.
icrc-customary-ihl-rule-14,Customary IHL Rule 14: Proportionality in Attack,customary_rule,International Committee of the Red Cross,2005,https://ihl-databases.icrc.org/en/customary-ihl/v1/rule14,Core proportionality rule.
icrc-customary-ihl-rule-15,Customary IHL Rule 15: Precautions in Attack,customary_rule,International Committee of the Red Cross,2005,https://ihl-databases.icrc.org/en/customary-ihl/v1/rule15,Core precautions rule.
rome-statute-1998,Rome Statute of the International Criminal Court,treaty,International Criminal Court,1998,https://www.icc-cpi.int/publications/core-legal-texts/rome-statute-international-criminal-court,Source for selected war-crimes categories and individual criminal responsibility.
icj-nuclear-weapons-1996,Legality of the Threat or Use of Nuclear Weapons,advisory_opinion,International Court of Justice,1996,https://www.icj-cij.org/case/95,Important statement on IHL principles and the conduct of hostilities.
