source_id,source_title,source_type,institution,year,url,notes
un-charter-chapter-viii,"Charter of the United Nations, Chapter VIII: Regional Arrangements",treaty,United Nations,1945,https://www.un.org/en/about-us/un-charter/chapter-8,Core Charter framework for regional arrangements and agencies.
un-charter-article-52,"Charter of the United Nations, Article 52",treaty,United Nations,1945,https://www.un.org/en/about-us/un-charter/chapter-8,Recognizes regional arrangements for matters relating to maintenance of international peace and security.
un-charter-article-53,"Charter of the United Nations, Article 53",treaty,United Nations,1945,https://www.un.org/en/about-us/un-charter/chapter-8,Addresses enforcement action by regional arrangements and Security Council authorization.
un-charter-article-54,"Charter of the United Nations, Article 54",treaty,United Nations,1945,https://www.un.org/en/about-us/un-charter/chapter-8,Requires Security Council to be kept informed of regional actions for international peace and security.
echr-convention,European Convention on Human Rights,treaty,Council of Europe,1950,https://www.echr.coe.int/documents/d/echr/convention_ENG,Foundational treaty for the European human-rights system.
echr-court-overview,European Court of Human Rights: General Presentation,institutional_material,European Court of Human Rights,n.d.,https://www.echr.coe.int/general-presentation,Official overview of the ECHR judicial system.
cjeu-court-overview,Court of Justice of the European Union: The Institution,institutional_material,Court of Justice of the European Union,n.d.,https://curia.europa.eu/jcms/jcms/Jo2_7024/en/,Official institutional overview of CJEU authority.
oas-charter,Charter of the Organization of American States,treaty,Organization of American States,1948,https://www.oas.org/en/sla/dil/inter_american_treaties_A-41_charter_OAS.asp,Foundational charter for the OAS regional system.
american-convention-human-rights,American Convention on Human Rights,treaty,Organization of American States,1969,https://www.oas.org/dil/treaties_B-32_American_Convention_on_Human_Rights.htm,Core treaty for the Inter-American human-rights system.
iacthr-court-overview,Inter-American Court of Human Rights: What is the I/A Court H.R.?,institutional_material,Inter-American Court of Human Rights,n.d.,https://www.corteidh.or.cr/que_es_la_corte.cfm?lang=en,Official court overview.
african-charter-human-peoples-rights,African Charter on Human and Peoples’ Rights,treaty,African Union,1981,https://au.int/en/treaties/african-charter-human-and-peoples-rights,Foundational African regional human-rights treaty.
african-court-protocol,Protocol to the African Charter on Human and Peoples’ Rights on the Establishment of an African Court,treaty,African Union,1998,https://au.int/en/treaties/protocol-african-charter-human-and-peoples-rights-establishment-african-court-human-and,Creates the African Court on Human and Peoples’ Rights.
african-court-overview,African Court on Human and Peoples’ Rights: Basic Information,institutional_material,African Court on Human and Peoples’ Rights,n.d.,https://www.african-court.org/wpafc/basic-information/,Official overview of African Court mandate and access.
ecowas-revised-treaty,ECOWAS Revised Treaty,treaty,Economic Community of West African States,1993,https://ecowas.int/ecowas-law/treaties/,Foundational ECOWAS legal instrument.
ecowas-court-overview,ECOWAS Court of Justice: Mandate and Jurisdiction,institutional_material,ECOWAS Court of Justice,n.d.,https://courtecowas.org/,Official materials on ECOWAS Court authority.
asean-charter,ASEAN Charter,treaty,Association of Southeast Asian Nations,2007,https://asean.org/asean-charter/,Foundational ASEAN constitutional instrument.
au-constitutive-act,Constitutive Act of the African Union,treaty,African Union,2000,https://au.int/en/constitutive-act,Foundational African Union constitutional instrument.
