case_key,title,year,court_or_body,regime_key,source_type,official_url,notes
corfu_channel,Corfu Channel United Kingdom v Albania,1949,International Court of Justice,use_of_force,judgment,https://www.icj-cij.org/case/1,"Early ICJ case addressing state responsibility, evidence, and use of force context."
north_sea_continental_shelf,North Sea Continental Shelf Cases,1969,International Court of Justice,customary_law,judgment,https://www.icj-cij.org/case/51,"Landmark case on customary international law and continental shelf delimitation."
nicaragua,Nicaragua v United States,1986,International Court of Justice,use_of_force,judgment,https://www.icj-cij.org/case/70,"Key case on use of force, non-intervention, and customary international law."
barcelona_traction,Barcelona Traction Belgium v Spain,1970,International Court of Justice,sources,judgment,https://www.icj-cij.org/case/50,"Important discussion of obligations erga omnes."
legality_nuclear_weapons,Legality of the Threat or Use of Nuclear Weapons,1996,International Court of Justice,ihl,advisory_opinion,https://www.icj-cij.org/case/95,"Advisory opinion on nuclear weapons, humanitarian law, and use of force."
wall_advisory_opinion,Legal Consequences of the Construction of a Wall in the Occupied Palestinian Territory,2004,International Court of Justice,human_rights,advisory_opinion,https://www.icj-cij.org/case/131,"Advisory opinion linking occupation, self-determination, human rights, and humanitarian law."
bosnia_genocide,Bosnia and Herzegovina v Serbia and Montenegro,2007,International Court of Justice,icl,judgment,https://www.icj-cij.org/case/91,"State responsibility and the Genocide Convention."
chagos_advisory_opinion,Legal Consequences of the Separation of the Chagos Archipelago from Mauritius in 1965,2019,International Court of Justice,sovereignty,advisory_opinion,https://www.icj-cij.org/case/169,"Decolonization, self-determination, and territorial administration."
gabcikovo,Gabcikovo-Nagymaros Project Hungary Slovakia,1997,International Court of Justice,environment,judgment,https://www.icj-cij.org/case/92,"Environmental law, treaty obligations, necessity, and sustainable development."
mox_plant,MOX Plant Ireland v United Kingdom,2001,International Tribunal for the Law of the Sea,law_of_sea,provisional_measures,https://www.itlos.org/en/main/cases/list-of-cases/case-no-10/,"UNCLOS dispute involving marine environmental protection and provisional measures."
