source_id,source_title,source_type,institution,year,url,notes
1,Charter of the United Nations full text,treaty,United Nations,1945,https://www.un.org/en/about-us/un-charter/full-text,Full UN Charter text
2,Chapter V The Security Council,Charter chapter,United Nations,1945,https://www.un.org/en/about-us/un-charter/chapter-5,Security Council composition voting functions and powers
3,Chapter VI Pacific Settlement of Disputes,Charter chapter,United Nations,1945,https://www.un.org/en/about-us/un-charter/chapter-6,Peaceful settlement framework
4,Chapter VII Action with Respect to Threats to the Peace Breaches of the Peace and Acts of Aggression,Charter chapter,United Nations,1945,https://www.un.org/en/about-us/un-charter/chapter-7,Enforcement framework including Articles 39 41 42 and 51
5,Article 24 Repertory,official repertory,United Nations Repertory of Practice,2016,https://legal.un.org/repertory/art24.shtml,Official Article 24 text and practice
6,Article 27 Repertory,official repertory,United Nations Repertory of Practice,n.d.,https://legal.un.org/repertory/art27.shtml,Official Article 27 voting text and practice
7,Article 39 Repertory,official repertory,United Nations Repertory of Practice,n.d.,https://legal.un.org/repertory/art39.shtml,Official Article 39 text and practice
8,Article 41 Repertory,official repertory,United Nations Repertory of Practice,n.d.,https://legal.un.org/repertory/art41.shtml,Official Article 41 text and practice
9,Functions and Powers,official institutional page,United Nations Security Council,n.d.,https://main.un.org/securitycouncil/en/content/functions-and-powers,Security Council official overview
10,About the Repertoire,official institutional page,Repertoire of the Practice of the Security Council,n.d.,https://main.un.org/securitycouncil/en/content/repertoire/about-repertoire,Security Council practice resource
11,Voting System,official institutional page,United Nations Security Council,n.d.,https://main.un.org/securitycouncil/en/content/voting-system,Official page on voting and veto practice
12,Mandates and the legal basis for peacekeeping,official institutional page,United Nations Peacekeeping,2026,https://peacekeeping.un.org/en/mandates-and-legal-basis-peacekeeping,Peacekeeping mandates and legal basis
13,Principles of peacekeeping,official institutional page,United Nations Peacekeeping,2026,https://peacekeeping.un.org/en/principles-of-peacekeeping,Consent impartiality non-use of force principles
14,Military and Paramilitary Activities in and against Nicaragua,ICJ case,International Court of Justice,1986,https://www.icj-cij.org/case/70,Nicaragua case on force and self-defense
15,Judgment of 27 June 1986,ICJ judgment,International Court of Justice,1986,https://www.icj-cij.org/node/103143,ICJ merits judgment
16,Application of the Genocide Convention in the Gaza Strip South Africa v Israel,ICJ case,International Court of Justice,2023,https://www.icj-cij.org/case/192,South Africa v Israel case page
17,Order of 26 January 2024,ICJ order,International Court of Justice,2024,https://www.icj-cij.org/node/203447,Provisional measures order in South Africa v Israel
18,Legal Consequences arising from Policies and Practices of Israel in the Occupied Palestinian Territory including East Jerusalem,ICJ advisory opinion,International Court of Justice,2024,https://www.icj-cij.org/case/186,Palestine advisory opinion
19,Resolution ES-10/24,General Assembly resolution,United Nations General Assembly,2024,https://docs.un.org/en/A/RES/ES-10/24,General Assembly resolution following ICJ Palestine advisory opinion
20,General Assembly 10th Emergency Special Session Resolution ES-10/24,official UN page,United Nations,2024,https://www.un.org/unispal/document/ga-10th-ess-resolution-18sep24/,UNISPAL page for ES-10/24
21,Uniting for Peace,official legal resource,United Nations Audiovisual Library of International Law,1950,https://legal.un.org/avl/ha/ufp/ufp.html,UN Audiovisual Library entry on Resolution 377 A(V)
22,Uniting for Peace General Assembly Resolution,official UN page,United Nations,1950,https://www.un.org/unispal/document/uniting-for-peace-ga-resolution-03nov1950/,UN page for Uniting for Peace resolution
23,Charter of the United Nations Audiovisual Library,official legal resource,United Nations Audiovisual Library of International Law,n.d.,https://legal.un.org/avl/ha/unch/unch.html,UN AVL entry for the Charter
