source_id,source_title,source_type,institution,year,url,notes
un-charter-1945,Charter of the United Nations,treaty,United Nations,1945,https://www.un.org/en/about-us/un-charter/full-text,Places human rights within the purposes and cooperation framework of the United Nations.
udhr-1948,Universal Declaration of Human Rights,declaration,UN General Assembly,1948,https://www.un.org/en/about-us/universal-declaration-of-human-rights,"Foundational declaration of dignity, equality, civil, political, economic, social, and cultural rights."
iccpr-1966,International Covenant on Civil and Political Rights,treaty,OHCHR / UN Treaty Collection,1966,https://www.ohchr.org/en/instruments-mechanisms/instruments/international-covenant-civil-and-political-rights,Core treaty for civil and political rights.
first-optional-protocol-iccpr,Optional Protocol to the ICCPR,treaty,OHCHR,1966,https://www.ohchr.org/en/instruments-mechanisms/instruments/optional-protocol-international-covenant-civil-and-political,Creates individual communications procedure for states parties.
second-optional-protocol-iccpr,Second Optional Protocol to the ICCPR aiming at abolition of the death penalty,treaty,OHCHR,1989,https://www.ohchr.org/en/instruments-mechanisms/instruments/second-optional-protocol-international-covenant-civil-and,Abolitionist protocol linked to the right to life.
human-rights-committee-general-comment-36,General comment No. 36 on article 6: right to life,general comment,Human Rights Committee,2018,https://docs.un.org/en/CCPR/C/GC/36,Authoritative treaty-body interpretation of the right to life.
human-rights-committee-general-comment-34,General comment No. 34 on freedoms of opinion and expression,general comment,Human Rights Committee,2011,https://docs.un.org/en/CCPR/C/GC/34,Interpretive guidance on ICCPR Article 19.
human-rights-committee-general-comment-37,General comment No. 37 on the right of peaceful assembly,general comment,Human Rights Committee,2020,https://docs.un.org/en/CCPR/C/GC/37,Interpretive guidance on ICCPR Article 21.
siracusa-principles,Siracusa Principles on the Limitation and Derogation Provisions in the ICCPR,expert principles,UN Economic and Social Council,1985,https://digitallibrary.un.org/record/87872,Influential framework on limitations and derogations.
echr,European Convention on Human Rights,regional treaty,Council of Europe / ECtHR,1950,https://www.echr.coe.int/documents/d/echr/convention_ENG,Regional civil and political rights treaty with strong judicial enforcement.
achr,American Convention on Human Rights,regional treaty,Organization of American States,1969,https://www.oas.org/dil/treaties_b-32_american_convention_on_human_rights.htm,Core Inter-American human rights treaty.
african-charter,African Charter on Human and Peoples’ Rights,regional treaty,African Union,1981,https://au.int/en/treaties/african-charter-human-and-peoples-rights,Regional human and peoples’ rights instrument linking individual and collective rights.
