source_id,source_title,source_type,institution,year,url,notes
1,Articles on Responsibility of States for Internationally Wrongful Acts,ILC work product,International Law Commission,2001,https://legal.un.org/ilc/texts/instruments/english/draft_articles/9_6_2001.pdf,Core ARSIWA text
2,Draft articles on Responsibility of States for Internationally Wrongful Acts with commentaries,ILC commentary,International Law Commission,2001,https://legal.un.org/ilc/texts/instruments/english/commentaries/9_6_2001.pdf,Commentaries on ARSIWA
3,Resolution 56/83 Responsibility of States for internationally wrongful acts,General Assembly resolution,United Nations General Assembly,2001,https://docs.un.org/en/A/RES/56/83,UNGA resolution taking note of ARSIWA
4,Articles on Responsibility of States for Internationally Wrongful Acts Audiovisual Library,official legal resource,United Nations,n.d.,https://legal.un.org/avl/ha/rsiwa/rsiwa.html,UN Audiovisual Library entry
5,Factory at Chorzow Merits,PCIJ case,Permanent Court of International Justice,1928,https://www.icj-cij.org/pcij-series-a,PCIJ Series A page with Chorzow Factory merits judgment
6,Corfu Channel,ICJ case,International Court of Justice,1949,https://www.icj-cij.org/case/1,ICJ case on state responsibility and omission
7,Military and Paramilitary Activities in and against Nicaragua,ICJ case,International Court of Justice,1986,https://www.icj-cij.org/case/70,ICJ case on attribution intervention use of force and state responsibility
8,Gabcikovo-Nagymaros Project,ICJ case,International Court of Justice,1997,https://www.icj-cij.org/case/92,ICJ case on necessity and treaty obligations
9,Application of the Genocide Convention Bosnia and Herzegovina v Serbia and Montenegro,ICJ case,International Court of Justice,2007,https://www.icj-cij.org/case/91,ICJ case on genocide prevention attribution and responsibility
10,Legal Consequences arising from Policies and Practices of Israel in the Occupied Palestinian Territory including East Jerusalem,ICJ advisory opinion,International Court of Justice,2024,https://www.icj-cij.org/case/186,Advisory opinion on occupation self-determination third-state duties
11,Application of the Genocide Convention in the Gaza Strip South Africa v Israel,ICJ case,International Court of Justice,2023,https://www.icj-cij.org/case/192,Contemporary Genocide Convention case brought by South Africa
12,Draft conclusions on peremptory norms of general international law jus cogens,ILC work product,International Law Commission,2022,https://legal.un.org/ilc/texts/instruments/english/draft_articles/1_14_2022.pdf,Serious breaches peremptory norms and consequences
