source_id,source_title,source_type,institution,year,url,notes
1,Statute of the International Court of Justice,primary authority,International Court of Justice,1945,https://www.icj-cij.org/statute,Article 38 source framework including international custom as evidence of general practice accepted as law
2,Identification of customary international law,ILC topic page,International Law Commission,2018,https://legal.un.org/ilc/guide/1_13.shtml,ILC guide page for customary international law identification
3,Draft conclusions on identification of customary international law,ILC work product,International Law Commission,2018,https://legal.un.org/ilc/texts/instruments/english/draft_articles/1_13_2018.pdf,Two-element approach to custom state practice and opinio juris
4,Draft conclusions on identification of customary international law with commentaries,ILC commentary,International Law Commission,2018,https://legal.un.org/ilc/texts/instruments/english/commentaries/1_13_2018.pdf,Commentary on evidence practice opinio juris and methodological issues
5,North Sea Continental Shelf cases,ICJ case,International Court of Justice,1969,https://www.icj-cij.org/case/52,Classic ICJ case on customary-law formation and treaty/custom interaction
6,Military and Paramilitary Activities in and against Nicaragua,ICJ case,International Court of Justice,1984-1986,https://www.icj-cij.org/case/70,Major ICJ case distinguishing treaty and customary rules on use of force and non-intervention
7,Jurisdictional Immunities of the State,ICJ case,International Court of Justice,2012,https://www.icj-cij.org/case/143,ICJ case identifying state immunity as customary international law
8,Convention on Jurisdictional Immunities of States and Their Property,official legal resource,United Nations,n.d.,https://legal.un.org/avl/ha/cjistp/cjistp.html,Context for state immunity and customary-law codification
9,Charter of the United Nations,treaty,United Nations,1945,https://www.un.org/en/about-us/un-charter/full-text,Use of force non-intervention and post-1945 legal order context
10,United Nations Audiovisual Library of International Law,official legal research resource,United Nations,n.d.,https://legal.un.org/avl/,Official UN legal research and teaching resource
