source_id,source_title,source_type,institution,year,url,notes
un-charter,Charter of the United Nations,treaty,United Nations,1945,https://www.un.org/en/about-us/un-charter/full-text,Foundational Charter provisions for human rights cooperation and dignity.
udhr,Universal Declaration of Human Rights,declaration,United Nations General Assembly,1948,https://www.un.org/en/about-us/universal-declaration-of-human-rights,"Foundational declaration linking dignity, equality, civil, political, economic, social, and cultural rights."
icescr,"International Covenant on Economic, Social and Cultural Rights",treaty,OHCHR / United Nations,1966,https://www.ohchr.org/en/instruments-mechanisms/instruments/international-covenant-economic-social-and-cultural-rights,"Core treaty source for economic, social, and cultural rights."
op-icescr,"Optional Protocol to the International Covenant on Economic, Social and Cultural Rights",treaty,OHCHR / United Nations,2008,https://www.ohchr.org/en/instruments-mechanisms/instruments/optional-protocol-international-covenant-economic-social-and-cultural,Creates individual communications and related procedures for ICESCR rights where accepted.
cescr,"Committee on Economic, Social and Cultural Rights",treaty body,OHCHR,n.d.,https://www.ohchr.org/en/treaty-bodies/cescr,Treaty body supervising ICESCR implementation.
cescr-gc3,CESCR General Comment No. 3: The Nature of States Parties’ Obligations,general comment,CESCR,1990,https://www.refworld.org/legal/general/cescr/1990/en/5613,Authoritative interpretation of progressive realization and maximum available resources.
cescr-gc12,CESCR General Comment No. 12: The Right to Adequate Food,general comment,CESCR,1999,https://www.refworld.org/legal/general/cescr/1999/en/87491,Key interpretation of the right to adequate food.
cescr-gc13,CESCR General Comment No. 13: The Right to Education,general comment,CESCR,1999,https://www.refworld.org/legal/general/cescr/1999/en/37937,Key interpretation of the right to education.
cescr-gc14,CESCR General Comment No. 14: The Right to the Highest Attainable Standard of Health,general comment,CESCR,2000,https://www.refworld.org/legal/general/cescr/2000/en/36991,Key interpretation of the right to health.
cescr-gc15,CESCR General Comment No. 15: The Right to Water,general comment,CESCR,2002,https://www.refworld.org/legal/general/cescr/2003/en/39347,Key interpretation of the right to water.
right-development,Declaration on the Right to Development,declaration,United Nations General Assembly,1986,https://www.ohchr.org/en/instruments-mechanisms/instruments/declaration-right-development,"Important source connecting development, participation, equity, and rights."
