domain,folder_slug,title,wordpress_slug,status,repository_path
Foundations,sources-of-international-law,Sources of International Law,sources-of-international-law,published,articles/international-law/sources-of-international-law
Foundations,treaty-law,Treaty Law,treaty-law-vienna-convention,published,articles/international-law/treaty-law
Foundations,customary-international-law,Customary International Law,customary-international-law,published,articles/international-law/customary-international-law
Foundations,general-principles-of-law,General Principles of Law in International Legal Order,general-principles-of-law-in-international-legal-order,published,articles/international-law/general-principles-of-law
Foundations,jus-cogens-erga-omnes,"Jus Cogens, Erga Omnes, and Peremptory Norms in International Law",jus-cogens-erga-omnes-and-peremptory-norms-in-international-law,published,articles/international-law/jus-cogens-erga-omnes
Foundations,reservations-interpretation-validity,"Reservations, Interpretation, and Validity in Treaty Law",reservations-interpretation-and-validity-in-treaty-law,published,articles/international-law/reservations-interpretation-validity
Foundations,fragmentation-and-coherence,Fragmentation and Coherence in International Legal Order,fragmentation-and-coherence-in-international-legal-order,published,articles/international-law/fragmentation-and-coherence
"Sovereignty, Statehood, and Responsibility",westphalian-system-state-sovereignty,The Westphalian System and State Sovereignty,westphalian-system-state-sovereignty,published,articles/international-law/westphalian-system-state-sovereignty
"Sovereignty, Statehood, and Responsibility",state-responsibility,State Responsibility in International Law,state-responsibility-international-law,published,articles/international-law/state-responsibility
"Sovereignty, Statehood, and Responsibility",statehood-recognition-legal-personality,"Statehood, Recognition, and Legal Personality in International Law",statehood-recognition-and-legal-personality-in-international-law,published,articles/international-law/statehood-recognition-legal-personality
"Sovereignty, Statehood, and Responsibility",sovereignty-jurisdiction-non-intervention,"Sovereignty, Jurisdiction, and Non-Intervention",sovereignty-jurisdiction-non-intervention-international-law,published,articles/international-law/sovereignty-jurisdiction-non-intervention
"Sovereignty, Statehood, and Responsibility",jurisdiction-in-international-law,"Jurisdiction in International Law: Territoriality, Nationality, Universality, and Extraterritorial Reach",jurisdiction-in-international-law-territoriality-nationality-universality-extraterritorial-reach,published,articles/international-law/jurisdiction-in-international-law
"Sovereignty, Statehood, and Responsibility",state-immunity-diplomatic-immunity-official-functions,"State Immunity, Diplomatic Immunity, and the Legal Protection of Official Functions",state-immunity-diplomatic-immunity-official-functions-international-law,published,articles/international-law/state-immunity-diplomatic-immunity-official-functions
"Sovereignty, Statehood, and Responsibility",territory-borders-boundary-disputes,"Territory, Borders, and Boundary Disputes in International Law",territory-borders-and-boundary-disputes-in-international-law,published,articles/international-law/territory-borders-boundary-disputes
