concept,category,description
Statehood,Core doctrine,Legal status of an entity as a state in international law
Secession,Core doctrine,Withdrawal of a territory or people from an existing state
Recognition,Core doctrine,Acceptance by other states of an entity's legal personality or government
Montevideo criteria,Statehood test,Permanent population defined territory government and capacity for relations
Declaratory theory,Recognition theory,Statehood exists if objective criteria are met regardless of recognition
Constitutive theory,Recognition theory,Statehood depends significantly on recognition by existing states
Contested statehood,Status category,Entities with some state-like features but disputed or limited recognition
Non-recognition,Legal consequence,Duty or practice of refusing recognition of unlawful territorial situations
Territorial integrity,Countervailing principle,Protection of existing states against force and unilateral dismemberment
Self-determination,Peoplehood principle,Right of peoples to determine political status and development
Remedial secession,Contested theory,Claim that extreme oppression may justify external self-determination
UN membership,Institutional status,Admission requiring Security Council recommendation and General Assembly decision
