source_id,source_title,source_type,institution,year,url,notes
1,The Court,official institutional page,International Court of Justice,n.d.,https://www.icj-cij.org/court,ICJ institutional status and functions
2,Statute of the Court,statute,International Court of Justice,n.d.,https://www.icj-cij.org/statute,ICJ jurisdiction and advisory opinion provisions
3,Organs and agencies authorized to request advisory opinions,official institutional page,International Court of Justice,n.d.,https://www.icj-cij.org/organs-agencies-authorized,Advisory-opinion request authority
4,Rome Statute of the International Criminal Court,treaty,International Criminal Court,1998,https://www.icc-cpi.int/publications/core-legal-texts/rome-statute-international-criminal-court,Core treaty governing ICC
5,About the Court,official institutional page,International Criminal Court,n.d.,https://www.icc-cpi.int/about/the-court,ICC role and institutional overview
6,The Tribunal,official institutional page,International Tribunal for the Law of the Sea,n.d.,https://www.itlos.org/en/main/the-tribunal/the-tribunal/,ITLOS institutional overview
7,Jurisdiction,official institutional page,International Tribunal for the Law of the Sea,n.d.,https://www.itlos.org/en/main/jurisdiction/,ITLOS jurisdiction overview
8,European Convention on Human Rights,treaty,European Court of Human Rights,n.d.,https://www.echr.coe.int/documents/d/echr/convention_ENG,ECHR treaty text and Court role
9,General presentation,official institutional page,European Court of Human Rights,n.d.,https://www.echr.coe.int/general-presentation,ECHR institutional overview and educational materials
10,Dispute settlement gateway,official institutional page,World Trade Organization,n.d.,https://www.wto.org/english/tratop_e/dispu_e/dispu_e.htm,WTO dispute-settlement resources
11,Appellate Body,official institutional page,World Trade Organization,n.d.,https://www.wto.org/english/tratop_e/dispu_e/appellate_body_e.htm,WTO Appellate Body information
12,About ICSID,official institutional page,ICSID,n.d.,https://icsid.worldbank.org/about,ICSID institutional role
13,ICSID Convention English,convention,ICSID,1965,https://icsid.worldbank.org/sites/default/files/ICSID%20Convention%20English.pdf,ICSID Convention text
14,International Criminal Tribunal for the former Yugoslavia,official institutional page,United Nations,n.d.,https://www.icty.org/,ICTY institutional archive
15,About the ICTY,official institutional page,United Nations,n.d.,https://www.icty.org/en/about,ICTY establishment and mandate
16,International Tribunals,official Security Council page,United Nations Security Council,n.d.,https://main.un.org/securitycouncil/en/content/repertoire/international-tribunals,Security Council materials on ICTY and ICTR
17,Residual Special Court for Sierra Leone,official institutional page,Residual Special Court for Sierra Leone,n.d.,https://rscsl.org/,Hybrid tribunal legacy materials
18,Legal Consequences arising from Policies and Practices of Israel in the Occupied Palestinian Territory including East Jerusalem,ICJ advisory opinion,International Court of Justice,2024,https://www.icj-cij.org/case/186,Palestine advisory opinion materials
19,Application of the Genocide Convention in the Gaza Strip South Africa v Israel,ICJ case,International Court of Justice,2023,https://www.icj-cij.org/case/192,South Africa v Israel case page
