domain,formal_legal_ideal,inequality_problem,diagnostic_question
Sovereignty,Formal equality of states,States possess unequal capacity territory wealth military power and institutional influence,Who can actually exercise the rights that doctrine formally grants?
Sources,Consent custom and general principles,Powerful states often generate practice and evidence more visibly than weaker actors,Whose practice counts as law-making evidence?
Security Council,Collective security and peace maintenance,Veto power creates institutional hierarchy among states,When does legality depend on great-power permission?
Use of force,Charter prohibition and self-defense,Enforcement can be selective and politically asymmetric,Which uses of force are condemned prosecuted tolerated or normalized?
Human rights,Universal dignity and protection,Implementation may be shaped by geopolitical selectivity and resource inequality,Who is protected and who is represented as a problem?
Trade law,Non-discrimination and market access,Market rules can constrain development and industrial policy unevenly,Who benefits from formal market neutrality?
Investment law,Investor protection and legal stability,Foreign investors may receive stronger remedies than affected communities,Whose losses become legally compensable?
Debt and finance,Stability repayment and development finance,Conditionality and debt distress can narrow democratic policy space,Who bears adjustment costs?
Climate law,Common concern and burden sharing,Historical responsibility and vulnerability are unequally distributed,Who pays for transition adaptation and loss?
Migration and borders,Territorial control and protection,Border regimes distribute mobility by nationality wealth race and security status,Who can move and who is contained?
