source_id,source_title,source_type,institution,year,url,notes
1,Statute of the International Court of Justice,statute,International Court of Justice,1945,https://www.icj-cij.org/statute,Article 38 and sources of public international law
2,Statute of the International Court of Justice,statute,United Nations,1945,https://www.un.org/en/about-us/un-charter/statute-of-the-international-court-of-justice,UN version of ICJ Statute
3,Charter of the United Nations full text,treaty,United Nations,1945,https://www.un.org/en/about-us/un-charter/full-text,Foundational public international law instrument
4,Hague Conference on Private International Law home,institutional resource,HCCH,2026,https://www.hcch.net/en/home,World organisation for cross-border cooperation in civil and commercial matters
5,About HCCH,institutional resource,HCCH,2026,https://www.hcch.net/en/about,Institutional background and mandate
6,Conventions and other instruments,institutional resource,HCCH,2026,https://www.hcch.net/en/instruments/conventions,HCCH convention list
7,Hague Service Convention full text,treaty,HCCH,1965,https://www.hcch.net/en/instruments/conventions/full-text/?cid=17,Service abroad of judicial and extrajudicial documents
8,Hague Service Convention PDF,treaty,HCCH,1965,https://assets.hcch.net/docs/f4520725-8cbd-4c71-b402-5aae1994d14c.pdf,Official PDF full text
9,Hague Choice of Court Convention full text,treaty,HCCH,2005,https://www.hcch.net/en/instruments/conventions/full-text/?cid=98,Exclusive choice of court agreements
10,Hague Judgments Convention full text,treaty,HCCH,2019,https://www.hcch.net/en/instruments/conventions/full-text/?cid=137,Recognition and enforcement of judgments in civil or commercial matters
11,ICSID Convention overview,treaty resource,ICSID,1965,https://icsid.worldbank.org/resources/rules-and-regulations/convention/overview,ICSID Convention overview
12,ICSID Convention Regulations and Rules,treaty resource,ICSID,1965,https://icsid.worldbank.org/rules-regulations/convention,ICSID convention resources
13,ICC International Court of Arbitration,institutional resource,International Chamber of Commerce,2026,https://iccwbo.org/dispute-resolution/dispute-resolution-services/icc-international-court-of-arbitration/,ICC arbitration institution information
14,ICC Arbitration,institutional resource,International Chamber of Commerce,2026,https://iccwbo.org/dispute-resolution/dispute-resolution-services/arbitration/,ICC arbitration services overview
