article_id,title,status,domain,wordpress_slug,canonical_url,repository_path,github_url
civil-political-rights-international-law,Civil and Political Rights in International Law,planned,"Human Rights, Refugees, and Protection",civil-and-political-rights-in-international-law,https://sustainablecatalyst.com/civil-and-political-rights-in-international-law/,articles/international-law/civil-political-rights-international-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/civil-political-rights-international-law
climate-change-law-treaties-legal-politics-decarbonization,"Climate Change Law, Treaties, and the Legal Politics of Decarbonization",planned,"Global Commons, Environment, and Economic Order",climate-change-law-treaties-and-the-legal-politics-of-decarbonization,https://sustainablecatalyst.com/climate-change-law-treaties-and-the-legal-politics-of-decarbonization/,articles/international-law/climate-change-law-treaties-legal-politics-decarbonization,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/climate-change-law-treaties-legal-politics-decarbonization
command-responsibility-individual-criminal-liability-modes-participation,"Command Responsibility, Individual Criminal Liability, and Modes of Participation",planned,International Criminal Law,command-responsibility-individual-criminal-liability-and-modes-of-participation,https://sustainablecatalyst.com/command-responsibility-individual-criminal-liability-and-modes-of-participation/,articles/international-law/command-responsibility-individual-criminal-liability-modes-participation,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/command-responsibility-individual-criminal-liability-modes-participation
common-but-differentiated-responsibilities-environmental-burden-sharing,Common but Differentiated Responsibilities and the Politics of Environmental Burden Sharing,planned,"Global Commons, Environment, and Economic Order",common-but-differentiated-responsibilities-and-the-politics-of-environmental-burden-sharing,https://sustainablecatalyst.com/common-but-differentiated-responsibilities-and-the-politics-of-environmental-burden-sharing/,articles/international-law/common-but-differentiated-responsibilities-environmental-burden-sharing,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/common-but-differentiated-responsibilities-environmental-burden-sharing
compliance-enforcement-limits-international-adjudication,"Compliance, Enforcement, and the Limits of International Adjudication",planned,"Institutions, Courts, and Dispute Settlement",compliance-enforcement-and-the-limits-of-international-adjudication,https://sustainablecatalyst.com/compliance-enforcement-and-the-limits-of-international-adjudication/,articles/international-law/compliance-enforcement-limits-international-adjudication,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/compliance-enforcement-limits-international-adjudication
customary-international-law,Customary International Law: State Practice and Opinio Juris,published,Foundations,customary-international-law,https://sustainablecatalyst.com/customary-international-law/,articles/international-law/customary-international-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/customary-international-law
cyber-operations-digital-sovereignty-international-law-information-age,"Cyber Operations, Digital Sovereignty, and International Law in the Information Age",planned,"Specialized, Emerging, and Critical Domains",cyber-operations-digital-sovereignty-and-international-law-in-the-information-age,https://sustainablecatalyst.com/cyber-operations-digital-sovereignty-and-international-law-in-the-information-age/,articles/international-law/cyber-operations-digital-sovereignty-international-law-information-age,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/cyber-operations-digital-sovereignty-international-law-information-age
development-inequality-structural-asymmetry-international-economic-law,"Development, Inequality, and Structural Asymmetry in International Economic Law",planned,"Global Commons, Environment, and Economic Order",development-inequality-and-structural-asymmetry-in-international-economic-law,https://sustainablecatalyst.com/development-inequality-and-structural-asymmetry-in-international-economic-law/,articles/international-law/development-inequality-structural-asymmetry-international-economic-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/development-inequality-structural-asymmetry-international-economic-law
economic-social-cultural-rights-international-law,"Economic, Social, and Cultural Rights in International Law",planned,"Human Rights, Refugees, and Protection",economic-social-and-cultural-rights-in-international-law,https://sustainablecatalyst.com/economic-social-and-cultural-rights-in-international-law/,articles/international-law/economic-social-cultural-rights-international-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/economic-social-cultural-rights-international-law
empire-decolonization-making-international-law,"Empire, Decolonization, and the Making of International Law",planned,"Specialized, Emerging, and Critical Domains",empire-decolonization-and-the-making-of-international-law,https://sustainablecatalyst.com/empire-decolonization-making-international-law/,articles/international-law/empire-decolonization-making-international-law,https://github.com/Content-Catalyst-LLC/international-law-research/tree/main/articles/international-law/empire-decolonization-making-international-law
