tag_id,kind,name,tag_name,article_slug,article_title,series,notes
tag-00040,topic,The Westphalian System and State Sovereignty,,,,,
tag-00037,topic,Treaty Law,,,,,
tag-00009,topic,Customary International Law: State Practice and Opinio Juris,,,,,
tag-00040,topic,The Westphalian System and State Sovereignty,,,,,
tag-00034,topic,State Responsibility in International Law,,,,,
tag-00039,topic,United Nations Collective Security,,,,,
tag-00040,topic,The Westphalian System and State Sovereignty,,,,,
tag-00040,topic,The Westphalian System and State Sovereignty,,,,,
tag-00010,topic,Fragmentation and Coherence in International Legal Order,,,,,
tag-00011,topic,General Principles of Law in International Legal Order,,,,,
tag-00014,topic,Human Rights in International Law,,,,,
tag-00014,topic,Human Rights in International Law,,,,,
tag-00040,topic,The Westphalian System and State Sovereignty,,,,,
tag-00016,topic,International Courts and Tribunals,,,,,
tag-00016,topic,International Courts and Tribunals,,,,,
tag-00036,topic,"Territory, Borders, and Boundary Disputes in International Law",,,,,
tag-00018,topic,Introduction to International Law,,,,,
tag-00019,topic,"Jurisdiction in International Law: Territoriality, Nationality, Universality, and Extraterritorial Reach",,,,,
tag-00020,topic,"Jus Cogens, Erga Omnes, and Peremptory Norms in International Law",,,,,
tag-00022,topic,Law of the Sea (UNCLOS),,,,,
tag-00022,topic,Law of the Sea (UNCLOS),,,,,
tag-00023,topic,Public vs Private International Law,,,,,
tag-00024,topic,"Reservations, Interpretation, and Validity in Treaty Law",,,,,
tag-00027,topic,"Self-Determination, Decolonization, and the Rights of Peoples",,,,,
tag-00026,topic,"Secession, Recognition, and Contested Statehood",,,,,
tag-00027,topic,"Self-Determination, Decolonization, and the Rights of Peoples",,,,,
tag-00028,topic,Sources of International Law,,,,,
tag-00040,topic,The Westphalian System and State Sovereignty,,,,,
tag-00030,topic,"Sovereignty, Jurisdiction, and Non-Intervention in International Law",,,,,
tag-00032,topic,"State Immunity, Diplomatic Immunity, and the Legal Protection of Official Functions",,,,,
tag-00032,topic,"State Immunity, Diplomatic Immunity, and the Legal Protection of Official Functions",,,,,
tag-00034,topic,State Responsibility in International Law,,,,,
tag-00034,topic,State Responsibility in International Law,,,,,
tag-00035,topic,"Statehood, Recognition, and Legal Personality in International Law",,,,,
tag-00036,topic,"Territory, Borders, and Boundary Disputes in International Law",,,,,
tag-00037,topic,Treaty Law,,,,,
tag-00039,topic,United Nations Collective Security,,,,,
tag-00039,topic,United Nations Collective Security,,,,,
tag-00040,topic,The Westphalian System and State Sovereignty,,,,,
international-court-of-justice-judicial-settlement-of-disputes__international-law,,,international law,international-court-of-justice-judicial-settlement-of-disputes,The International Court of Justice and the Judicial Settlement of Disputes,International Law,Article tag for Catalyst Data discovery.
international-court-of-justice-judicial-settlement-of-disputes__international-court-of-justice,,,International Court of Justice,international-court-of-justice-judicial-settlement-of-disputes,The International Court of Justice and the Judicial Settlement of Disputes,International Law,Article tag for Catalyst Data discovery.
international-court-of-justice-judicial-settlement-of-disputes__judicial-settlement,,,judicial settlement,international-court-of-justice-judicial-settlement-of-disputes,The International Court of Justice and the Judicial Settlement of Disputes,International Law,Article tag for Catalyst Data discovery.
international-court-of-justice-judicial-settlement-of-disputes__icj-statute,,,ICJ Statute,international-court-of-justice-judicial-settlement-of-disputes,The International Court of Justice and the Judicial Settlement of Disputes,International Law,Article tag for Catalyst Data discovery.
international-court-of-justice-judicial-settlement-of-disputes__advisory-opinions,,,advisory opinions,international-court-of-justice-judicial-settlement-of-disputes,The International Court of Justice and the Judicial Settlement of Disputes,International Law,Article tag for Catalyst Data discovery.
international-court-of-justice-judicial-settlement-of-disputes__contentious-jurisdiction,,,contentious jurisdiction,international-court-of-justice-judicial-settlement-of-disputes,The International Court of Justice and the Judicial Settlement of Disputes,International Law,Article tag for Catalyst Data discovery.
international-court-of-justice-judicial-settlement-of-disputes__provisional-measures,,,provisional measures,international-court-of-justice-judicial-settlement-of-disputes,The International Court of Justice and the Judicial Settlement of Disputes,International Law,Article tag for Catalyst Data discovery.
international-court-of-justice-judicial-settlement-of-disputes__state-responsibility,,,state responsibility,international-court-of-justice-judicial-settlement-of-disputes,The International Court of Justice and the Judicial Settlement of Disputes,International Law,Article tag for Catalyst Data discovery.
