instrument_id,instrument_title,instrument_type,institution,year,url,article_id,notes
instr-customary-international-law-9,,treaty,,,https://www.un.org/en/about-us/un-charter/full-text,,
instr-customary-international-law-8,,treaty,,,https://legal.un.org/avl/ha/cjistp/cjistp.html,,
instr-customary-international-law-3,,report,,,https://legal.un.org/ilc/texts/instruments/english/draft_articles/1_13_2018.pdf,,
instr-customary-international-law-4,,report,,,https://legal.un.org/ilc/texts/instruments/english/commentaries/1_13_2018.pdf,,
instr-customary-international-law-2,,report,,,https://legal.un.org/ilc/guide/1_13.shtml,,
instr-customary-international-law-7,,case,,,https://www.icj-cij.org/case/143,,
instr-customary-international-law-6,,treaty,,,https://www.icj-cij.org/case/70,,
instr-customary-international-law-5,,treaty,,,https://www.icj-cij.org/case/52,,
instr-customary-international-law-1,,treaty,,,https://www.icj-cij.org/statute,,
instr-customary-international-law-10,,other,,,https://legal.un.org/avl/,,
instr-fragmentation-and-coherence-3,,report,,,https://legal.un.org/ilc/reports/2006/english/chp12.pdf,,
instr-fragmentation-and-coherence-2,,report,,,https://legal.un.org/ilc/texts/instruments/english/draft_articles/1_9_2006.pdf,,
instr-fragmentation-and-coherence-10,,report,,,https://legal.un.org/ilc/texts/instruments/english/draft_articles/9_6_2001.pdf,,
instr-fragmentation-and-coherence-9,,treaty,,,https://legal.un.org/ilc/texts/instruments/english/draft_articles/1_11_2018.pdf,,
instr-fragmentation-and-coherence-1,,report,,,https://legal.un.org/ilc/documentation/english/a_cn4_l702.pdf,,
instr-fragmentation-and-coherence-7,,case,,,https://www.icj-cij.org/case/143,,
instr-fragmentation-and-coherence-8,,case,,,https://www.icj-cij.org/case/143/judgments,,
instr-fragmentation-and-coherence-5,,treaty,,,https://www.icj-cij.org/case/90,,
instr-fragmentation-and-coherence-6,,case,,,https://www.icj-cij.org/case/90/judgments,,
instr-fragmentation-and-coherence-4,,treaty,,,https://legal.un.org/ilc/texts/instruments/english/conventions/1_1_1969.pdf,,
instr-general-principles-of-law-7,,case,,,https://www.icj-cij.org/node/103744,,
instr-general-principles-of-law-3,,report,,,https://legal.un.org/ilc/reports/2023/english/chp4.pdf,,
instr-general-principles-of-law-9,,report,,,https://legal.un.org/ilc/texts/instruments/english/draft_articles/9_6_2001.pdf,,
instr-general-principles-of-law-2,,report,,,https://legal.un.org/ilc/guide/1_15.shtml,,
instr-general-principles-of-law-5,,case,,,https://www.icj-cij.org/case/4,,
instr-general-principles-of-law-4,,report,,,https://legal.un.org/ilc/reports/2023/,,
instr-general-principles-of-law-1,,treaty,,,https://www.icj-cij.org/statute,,
instr-general-principles-of-law-6,,case,,,https://www.icj-cij.org/case/4/summaries,,
instr-general-principles-of-law-8,,treaty,,,https://legal.un.org/ilc/texts/instruments/english/conventions/1_1_1969.pdf,,
instr-human-rights-international-law-14,,treaty,,,https://au.int/en/treaties/african-charter-human-and-peoples-rights,,
instr-human-rights-international-law-15,,treaty,,,https://au.int/sites/default/files/treaties/36390-treaty-0011_-_african_charter_on_human_and_peoples_rights_e.pdf,,
instr-human-rights-international-law-16,,treaty,,,https://www.icj-cij.org/case/192,,
instr-human-rights-international-law-1,,treaty,,,https://www.un.org/en/about-us/un-charter/full-text,,
instr-human-rights-international-law-11,,treaty,,,https://www.ohchr.org/en/instruments-mechanisms/instruments/convention-against-torture-and-other-cruel-inhuman-or-degrading,,
instr-human-rights-international-law-12,,treaty,,,https://www.ohchr.org/en/instruments-mechanisms/instruments/convention-rights-child,,
instr-human-rights-international-law-7,,treaty,,,https://www.ohchr.org/en/core-international-human-rights-instruments-and-their-monitoring-bodies,,
instr-human-rights-international-law-19,,report,,,https://legal.un.org/ilc/texts/instruments/english/draft_articles/1_14_2022.pdf,,
instr-human-rights-international-law-13,,treaty,,,https://www.echr.coe.int/documents/d/echr/convention_ENG,,
instr-human-rights-international-law-9,,treaty,,,https://www.ohchr.org/en/instruments-and-mechanisms,,
instr-human-rights-international-law-10,,treaty,,,https://www.ohchr.org/en/instruments-mechanisms/instruments/international-convention-elimination-all-forms-racial,,
instr-human-rights-international-law-5,,treaty,,,https://www.ohchr.org/en/instruments-mechanisms/instruments/international-covenant-civil-and-political-rights,,
instr-human-rights-international-law-6,,treaty,,,https://www.ohchr.org/en/instruments-mechanisms/instruments/international-covenant-economic-social-and-cultural-rights,,
instr-human-rights-international-law-4,,other,,,https://www.ohchr.org/en/instruments-and-mechanisms/international-human-rights-law,,
instr-human-rights-international-law-18,,case,,,https://www.icj-cij.org/case/186,,
instr-human-rights-international-law-17,,case,,,https://www.icj-cij.org/node/203447,,
instr-human-rights-international-law-8,,treaty,,,https://www.ohchr.org/en/treaty-bodies,,
instr-human-rights-international-law-2,,resolution,,,https://www.un.org/en/about-us/universal-declaration-of-human-rights,,
instr-human-rights-international-law-3,,resolution,,,https://www.ohchr.org/en/universal-declaration-of-human-rights,,
instr-international-courts-and-tribunals-12,,other,,,https://icsid.worldbank.org/about,,
instr-international-courts-and-tribunals-5,,case,,,https://www.icc-cpi.int/about/the-court,,
instr-international-courts-and-tribunals-15,,other,,,https://www.icty.org/en/about,,
instr-international-courts-and-tribunals-11,,other,,,https://www.wto.org/english/tratop_e/dispu_e/appellate_body_e.htm,,
instr-international-courts-and-tribunals-19,,treaty,,,https://www.icj-cij.org/case/192,,
instr-international-courts-and-tribunals-10,,other,,,https://www.wto.org/english/tratop_e/dispu_e/dispu_e.htm,,
instr-international-courts-and-tribunals-8,,treaty,,,https://www.echr.coe.int/documents/d/echr/convention_ENG,,
instr-international-courts-and-tribunals-9,,case,,,https://www.echr.coe.int/general-presentation,,
instr-international-courts-and-tribunals-13,,treaty,,,https://icsid.worldbank.org/sites/default/files/ICSID%20Convention%20English.pdf,,
instr-international-courts-and-tribunals-14,,case,,,https://www.icty.org/,,
instr-international-courts-and-tribunals-16,,case,,,https://main.un.org/securitycouncil/en/content/repertoire/international-tribunals,,
instr-international-courts-and-tribunals-7,,case,,,https://www.itlos.org/en/main/jurisdiction/,,
instr-international-courts-and-tribunals-18,,case,,,https://www.icj-cij.org/case/186,,
instr-international-courts-and-tribunals-3,,case,,,https://www.icj-cij.org/organs-agencies-authorized,,
instr-international-courts-and-tribunals-17,,case,,,https://rscsl.org/,,
instr-international-courts-and-tribunals-4,,treaty,,,https://www.icc-cpi.int/publications/core-legal-texts/rome-statute-international-criminal-court,,
instr-international-courts-and-tribunals-2,,treaty,,,https://www.icj-cij.org/statute,,
instr-international-courts-and-tribunals-1,,case,,,https://www.icj-cij.org/court,,
instr-international-courts-and-tribunals-6,,case,,,https://www.itlos.org/en/main/the-tribunal/the-tribunal/,,
instr-introduction-to-international-law-1,,treaty,,,https://www.un.org/en/about-us/un-charter/full-text,,
instr-introduction-to-international-law-6,,other,,,https://asil.org/resources/100ways/,,
instr-introduction-to-international-law-2,,treaty,,,https://www.icj-cij.org/statute,,
instr-introduction-to-international-law-3,,treaty,,,https://www.un.org/en/about-us/un-charter/statute-of-the-international-court-of-justice,,
instr-introduction-to-international-law-4,,treaty,,,https://legal.un.org/ilc/texts/instruments/english/conventions/1_1_1969.pdf,,
instr-introduction-to-international-law-5,,treaty,,,https://treaties.un.org/pages/ViewDetails.aspx?chapter=23&clang=_en&mtdsg_no=XXIII-1&src=TREATY,,
instr-jurisdiction-in-international-law-3,,case,,,https://www.icj-cij.org/case/121,,
instr-jurisdiction-in-international-law-4,,case,,,https://www.icj-cij.org/case/121/judgments,,
instr-jurisdiction-in-international-law-6,,treaty,,,https://www.un.org/en/about-us/un-charter/full-text,,
instr-jurisdiction-in-international-law-7,,treaty,,,https://docs.un.org/en/a/res/2625%28xxv%29,,
instr-jurisdiction-in-international-law-11,,other,,,https://www.ohchr.org/Documents/Issues/Terrorism/UNSRsPublicJurisdictionAnalysis2020.pdf,,
instr-jurisdiction-in-international-law-13,,other,,,https://legal.un.org/ilc/guide/4_1.shtml,,
instr-jurisdiction-in-international-law-14,,case,,,https://www.icj-cij.org/case/70,,
instr-jurisdiction-in-international-law-9,,treaty,,,https://www.un.org/depts/los/convention_agreements/convention_overview_convention.htm,,
instr-jurisdiction-in-international-law-5,,case,,,https://www.icj-cij.org/node/103960,,
instr-jurisdiction-in-international-law-1,,case,,,https://www.icj-cij.org/pcij-series-a,,
instr-jurisdiction-in-international-law-2,,case,,,https://www.icj-cij.org/node/105989,,
instr-jurisdiction-in-international-law-10,,other,,,https://www.un.org/Depts/los/convention_agreements/texts/unclos/UNCLOS-TOC.htm,,
instr-jurisdiction-in-international-law-8,,treaty,,,https://www.un.org/depts/los/convention_agreements/texts/unclos/unclos_e.pdf,,
instr-jurisdiction-in-international-law-12,,other,,,https://seoul.ohchr.org/sites/default/files/2022-10/09_What%20is%20Universal%20Jurisdiction_formatting_FIN_ENG.pdf,,
instr-jus-cogens-erga-omnes-5,,case,,,https://www.icj-cij.org/case/50,,
instr-jus-cogens-erga-omnes-9,,report,,,https://legal.un.org/ilc/texts/instruments/english/draft_articles/9_6_2001.pdf,,
instr-jus-cogens-erga-omnes-4,,report,,,https://legal.un.org/ilc/texts/instruments/english/commentaries/1_14_2022.pdf,,
instr-jus-cogens-erga-omnes-3,,report,,,https://legal.un.org/ilc/texts/instruments/english/draft_articles/1_14_2022.pdf,,
instr-jus-cogens-erga-omnes-7,,case,,,https://www.icj-cij.org/case/186,,
instr-jus-cogens-erga-omnes-6,,treaty,,,https://www.icj-cij.org/case/144,,
instr-jus-cogens-erga-omnes-8,,case,,,https://www.icj-cij.org/node/204176,,
instr-jus-cogens-erga-omnes-10,,treaty,,,https://www.un.org/en/about-us/un-charter/full-text,,
instr-jus-cogens-erga-omnes-1,,treaty,,,https://legal.un.org/ilc/texts/instruments/english/conventions/1_1_1969.pdf,,
instr-jus-cogens-erga-omnes-2,,treaty,,,https://treaties.un.org/pages/ViewDetails.aspx?chapter=23&clang=_en&mtdsg_no=XXIII-1&src=TREATY,,
instr-law-of-the-sea-unclos-7,,other,,,https://isa.org.jm/about-isa/,,
instr-law-of-the-sea-unclos-15,,treaty,,,https://www.un.org/bbnjagreement/en,,
instr-law-of-the-sea-unclos-17,,treaty,,,https://www.unep.org/resources/agreement-marine-biological-diversity-areas-beyond-national-jurisdiction-bbnj-agreement,,
instr-law-of-the-sea-unclos-16,,treaty,,,https://www.un.org/bbnjagreement/sites/default/files/2024-08/Text%20of%20the%20Agreement%20in%20English.pdf,,
instr-law-of-the-sea-unclos-9,,other,,,https://www.un.org/depts/los/clcs_new/clcs_home.htm,,
instr-law-of-the-sea-unclos-10,,other,,,https://www.un.org/depts/los/clcs_new/commission_purpose.htm,,
instr-law-of-the-sea-unclos-3,,other,,,https://www.un.org/depts/los/index.htm,,
instr-law-of-the-sea-unclos-8,,other,,,https://isa.org.jm/equitable-sharing-of-benefits/,,
instr-law-of-the-sea-unclos-18,,treaty,,,https://www.imo.org/en/about/Conventions/Pages/International-Convention-for-the-Prevention-of-Pollution-from-Ships-%28MARPOL%29.aspx,,
instr-law-of-the-sea-unclos-6,,case,,,https://www.itlos.org/en/main/jurisdiction/,,
instr-law-of-the-sea-unclos-13,,case,,,https://www.icj-cij.org/case/52,,
instr-law-of-the-sea-unclos-14,,case,,,https://www.icj-cij.org/case/52/judgments,,
