concept_id,concept_name,vclt_article,description,article_section
1,Treaty definition,Article 2(1)(a),Treaty as an international agreement in written form governed by international law,what-is-a-treaty
2,Capacity to conclude treaties,Article 6,Every state possesses capacity to conclude treaties,capacity-and-full-powers
3,Consent to be bound,Articles 11-17,Legal methods by which states express consent to treaty obligation,consent
4,Entry into force,Article 24,Rules governing when treaty obligations become legally operative,entry-into-force-registration
5,Pacta sunt servanda,Article 26,Treaties in force bind parties and must be performed in good faith,pacta-sunt-servanda
6,Internal law and observance of treaties,Article 27,Internal law normally cannot justify failure to perform treaty obligations,domestic-law
7,Treaty interpretation,Articles 31-33,Ordinary meaning context object and purpose supplementary means and multilingual texts,interpretation
8,Reservations,Articles 19-23,Unilateral statements excluding or modifying legal effect of treaty provisions,reservations
9,Invalidity and coercion,Articles 48-52,Grounds of invalidity including error fraud corruption and coercion,invalidity
10,Jus cogens,Article 53,Peremptory norms limiting treaty freedom,jus-cogens
11,Amendment suspension and termination,Articles 39-41 and 54-64,Rules for changing suspending terminating or withdrawing from treaties,amendment-termination
12,Material breach,Article 60,Serious treaty breach and its consequences,material-breach
13,Fundamental change of circumstances,Article 62,Restricted doctrine allowing treaty exit in exceptional transformed circumstances,fundamental-change
14,Successive treaties,Article 30,Rules for treaties relating to the same subject matter,intertemporal-successive
