source_id,source_title,source_type,institution,year,url,notes
1,Statute of the International Court of Justice,primary authority,International Court of Justice,1945,https://www.icj-cij.org/statute,Article 38 source framework for international conventions custom general principles judicial decisions and scholarly writings
2,Charter of the United Nations,treaty,United Nations,1945,https://www.un.org/en/about-us/un-charter/full-text,Foundational treaty of the post-1945 legal order including sovereign equality use of force and treaty registration
3,Vienna Convention on the Law of Treaties,treaty,United Nations,1969,https://legal.un.org/ilc/texts/instruments/english/conventions/1_1_1969.pdf,Treaty law framework and pacta sunt servanda
4,Identification of customary international law,ILC topic page,International Law Commission,2018,https://legal.un.org/ilc/guide/1_13.shtml,ILC guide page for customary international law identification
5,Draft conclusions on identification of customary international law,ILC work product,International Law Commission,2018,https://legal.un.org/ilc/texts/instruments/english/draft_articles/1_13_2018.pdf,Two-element approach to custom state practice and opinio juris
6,Draft conclusions on identification of customary international law with commentaries,ILC commentary,International Law Commission,2018,https://legal.un.org/ilc/texts/instruments/english/commentaries/1_13_2018.pdf,Commentary on evidence practice opinio juris and methodological issues
7,General principles of law,ILC report chapter,International Law Commission,2023,https://legal.un.org/ilc/reports/2023/english/chp4.pdf,Modern ILC work on general principles of law
8,Draft conclusions on peremptory norms of general international law jus cogens,ILC work product,International Law Commission,2022,https://legal.un.org/ilc/texts/instruments/english/draft_articles/1_14_2022.pdf,Source hierarchy and peremptory norms
9,Draft Articles on Responsibility of States for Internationally Wrongful Acts,ILC work product,International Law Commission,2001,https://legal.un.org/ilc/texts/instruments/english/draft_articles/9_6_2001.pdf,State responsibility and consequences of internationally wrongful acts
10,United Nations Audiovisual Library of International Law,official legal research resource,United Nations,n.d.,https://legal.un.org/avl/,Official UN legal research and teaching resource
