article_id,article_title,source_id,source_kind,source_type,title,author_or_institution,year,publisher,url,notes
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",self-determination-decolonization-rights-of-peoples-primary-001,primary,treaty,Charter of the United Nations,United Nations,1945,,https://www.un.org/en/about-us/un-charter/full-text,Articles 1 and 55
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",self-determination-decolonization-rights-of-peoples-primary-002,primary,resolution,Declaration on the Granting of Independence to Colonial Countries and Peoples,OHCHR / United Nations,1960,,https://www.ohchr.org/en/instruments-mechanisms/instruments/declaration-granting-independence-colonial-countries-and-peoples,Resolution 1514
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",self-determination-decolonization-rights-of-peoples-primary-003,primary,treaty,International Covenant on Civil and Political Rights,OHCHR,1966,,https://www.ohchr.org/en/instruments-mechanisms/instruments/international-covenant-civil-and-political-rights,Common Article 1
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",self-determination-decolonization-rights-of-peoples-primary-004,primary,treaty,International Covenant on Economic Social and Cultural Rights,OHCHR,1966,,https://www.ohchr.org/en/instruments-mechanisms/instruments/international-covenant-economic-social-and-cultural-rights,Common Article 1
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",self-determination-decolonization-rights-of-peoples-primary-005,primary,resolution,Friendly Relations Declaration,United Nations General Assembly,1970,,https://docs.un.org/en/a/res/2625%28xxv%29,Self-determination and territorial integrity
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",self-determination-decolonization-rights-of-peoples-primary-006,primary,other,Permanent Sovereignty over Natural Resources,OHCHR / United Nations,1962,,https://www.ohchr.org/en/instruments-mechanisms/instruments/general-assembly-resolution-1803-xvii-14-december-1962-permanent,Resource sovereignty
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",self-determination-decolonization-rights-of-peoples-primary-007,primary,case,Western Sahara,International Court of Justice,1975,,https://www.icj-cij.org/case/61,Self-determination and free expression of will
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",self-determination-decolonization-rights-of-peoples-primary-008,primary,case,Namibia Advisory Opinion,International Court of Justice,1971,,https://www.icj-cij.org/case/53,South Africa's continued presence in Namibia
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",self-determination-decolonization-rights-of-peoples-primary-009,primary,case,East Timor,International Court of Justice,1995,,https://www.icj-cij.org/case/84,Self-determination as erga omnes
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",self-determination-decolonization-rights-of-peoples-primary-010,primary,case,Chagos Advisory Opinion,International Court of Justice,2019,,https://www.icj-cij.org/case/169,Unfinished decolonization
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",self-determination-decolonization-rights-of-peoples-primary-011,primary,case,Kosovo Advisory Opinion,International Court of Justice,2010,,https://www.icj-cij.org/case/141,Declaration of independence and international law
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",self-determination-decolonization-rights-of-peoples-primary-012,primary,case,Palestine Advisory Opinion,International Court of Justice,2024,,https://www.icj-cij.org/case/186,Palestinian self-determination
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",self-determination-decolonization-rights-of-peoples-primary-013,primary,resolution,UN Declaration on the Rights of Indigenous Peoples,OHCHR,2007,,https://www.ohchr.org/en/indigenous-peoples/un-declaration-rights-indigenous-peoples,Indigenous peoples' rights
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",self-determination-decolonization-rights-of-peoples-primary-014,primary,other,Non-Self-Governing Territories,United Nations Decolonization,2024,,https://www.un.org/dppa/decolonization/en/nsgt,UN decolonization list
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",1,secondary,secondary_source,Self-Determination of Peoples: A Legal Reappraisal,Antonio Cassese,1995,Cambridge University Press,https://www.cambridge.org/core/books/selfdetermination-of-peoples/B45651C53658A1E238BDF62EBE1A17D4,Major monograph on self-determination doctrine
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",2,secondary,secondary_source,The Creation of States in International Law,James Crawford,2006,Oxford University Press,https://global.oup.com/academic/product/the-creation-of-states-in-international-law-9780199228423,Statehood and self-determination context
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",3,secondary,secondary_source,Imperialism Sovereignty and the Making of International Law,Antony Anghie,2004,Cambridge University Press,https://www.cambridge.org/core/books/imperialism-sovereignty-and-the-making-of-international-law/8A9B9D74AAB7CA2D7B7D4D83A7E9D59A,Empire and international legal hierarchy
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",4,secondary,secondary_source,The Gentle Civilizer of Nations,Martti Koskenniemi,2001,Cambridge University Press,https://www.cambridge.org/core/books/gentle-civilizer-of-nations/4C00F7A5C00C61A1BBE3AA6231B4066E,Historical critique of international law
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",5,secondary,secondary_source,Modern Law of Self-Determination,Christian Tomuschat,1993,Martinus Nijhoff,https://brill.com/display/title/944,Edited collection on self-determination
self-determination-decolonization-rights-of-peoples,"Self-Determination, Decolonization, and the Rights of Peoples",6,secondary,secondary_source,Indigenous Peoples in International Law,James Anaya,2004,Oxford University Press,https://global.oup.com/academic/product/indigenous-peoples-in-international-law-9780195173505,Indigenous peoples and self-determination
