article_id,article_title,source_id,source_kind,source_type,title,author_or_institution,year,publisher,url,notes
treaty-law,Treaty Law,1,primary,treaty,Vienna Convention on the Law of Treaties,United Nations,1969,,https://legal.un.org/ilc/texts/instruments/english/conventions/1_1_1969.pdf,Core treaty law framework for definition consent interpretation reservations invalidity and termination
treaty-law,Treaty Law,2,primary,treaty,Vienna Convention on the Law of Treaties Audiovisual Library overview,United Nations,n.d.,,https://legal.un.org/avl/ha/vclt/vclt.html,Official overview and historical context for the Convention
treaty-law,Treaty Law,3,primary,treaty,Vienna Convention on the Law of Treaties treaty status page,United Nations Treaty Collection,n.d.,,https://treaties.un.org/pages/ViewDetails.aspx?chapter=23&clang=_en&mtdsg_no=XXIII-1&src=TREATY,Entry into force and party status
treaty-law,Treaty Law,4,primary,treaty,Definition of key terms used in the UN Treaty Collection,United Nations Treaty Collection,n.d.,,https://treaties.un.org/Pages/overview.aspx?path=overview/definition/page1_en.xml,Treaty terminology and depositary practice guidance
treaty-law,Treaty Law,5,primary,treaty,United Nations Conference on the Law of Treaties 1968-1969,United Nations Codification Division,n.d.,,https://legal.un.org/diplconf_records/1968_lot/,Official conference records for treaty-law codification
treaty-law,Treaty Law,6,primary,treaty,Charter of the United Nations,United Nations,1945,,https://www.un.org/en/about-us/un-charter/full-text,Article 102 treaty registration and publication
treaty-law,Treaty Law,7,primary,treaty,Treaties,International Court of Justice,n.d.,,https://www.icj-cij.org/treaties,ICJ treaty materials and legal framework context
treaty-law,Treaty Law,1,secondary,secondary_source,Modern Treaty Law and Practice,Aust Anthony,2013,Cambridge University Press,https://www.cambridge.org/core/books/modern-treaty-law-and-practice/0E78B04C7C2A19B9C9FBAC871A0B9F3B,Core specialist reference on treaty law
treaty-law,Treaty Law,2,secondary,secondary_source,The Oxford Guide to Treaties,Hollis Duncan B,2020,Oxford University Press,https://global.oup.com/academic/product/the-oxford-guide-to-treaties-9780198848349,Comprehensive edited guide to treaty law and practice
treaty-law,Treaty Law,3,secondary,secondary_source,Brownlie's Principles of Public International Law,Crawford James,2019,Oxford University Press,https://global.oup.com/academic/product/brownlies-principles-of-public-international-law-9780198737445,General international law reference
treaty-law,Treaty Law,4,secondary,secondary_source,International Law,Shaw Malcolm N,2021,Cambridge University Press,https://www.cambridge.org/highereducation/books/international-law/2AB3E3A1B863D0F1D9B22F7862B1F0F1,General international law reference
