article_id,article_title,source_id,source_kind,source_type,title,author_or_institution,year,publisher,url,notes
human-rights-international-law,Human Rights in International Law,1,primary,treaty,Charter of the United Nations full text,United Nations,1945,,https://www.un.org/en/about-us/un-charter/full-text,UN Charter provisions on human rights and international cooperation
human-rights-international-law,Human Rights in International Law,10,primary,treaty,International Convention on the Elimination of All Forms of Racial Discrimination,OHCHR,1965,,https://www.ohchr.org/en/instruments-mechanisms/instruments/international-convention-elimination-all-forms-racial,ICERD official text
human-rights-international-law,Human Rights in International Law,11,primary,treaty,Convention against Torture and Other Cruel Inhuman or Degrading Treatment or Punishment,OHCHR,1984,,https://www.ohchr.org/en/instruments-mechanisms/instruments/convention-against-torture-and-other-cruel-inhuman-or-degrading,CAT official text
human-rights-international-law,Human Rights in International Law,12,primary,treaty,Convention on the Rights of the Child,OHCHR,1989,,https://www.ohchr.org/en/instruments-mechanisms/instruments/convention-rights-child,CRC official text
human-rights-international-law,Human Rights in International Law,13,primary,treaty,European Convention on Human Rights,European Court of Human Rights,n.d.,,https://www.echr.coe.int/documents/d/echr/convention_ENG,ECHR convention text
human-rights-international-law,Human Rights in International Law,14,primary,treaty,African Charter on Human and Peoples Rights,African Union,1981,,https://au.int/en/treaties/african-charter-human-and-peoples-rights,African Charter official AU page
human-rights-international-law,Human Rights in International Law,15,primary,treaty,African Charter on Human and Peoples Rights PDF,African Union,1981,,https://au.int/sites/default/files/treaties/36390-treaty-0011_-_african_charter_on_human_and_peoples_rights_e.pdf,African Charter PDF
human-rights-international-law,Human Rights in International Law,16,primary,treaty,Application of the Genocide Convention in the Gaza Strip South Africa v Israel,International Court of Justice,2023,,https://www.icj-cij.org/case/192,South Africa v Israel case page
human-rights-international-law,Human Rights in International Law,17,primary,case,Order of 26 January 2024,International Court of Justice,2024,,https://www.icj-cij.org/node/203447,Provisional measures order in South Africa v Israel
human-rights-international-law,Human Rights in International Law,18,primary,case,Legal Consequences arising from Policies and Practices of Israel in the Occupied Palestinian Territory including East Jerusalem,International Court of Justice,2024,,https://www.icj-cij.org/case/186,Palestine advisory opinion
human-rights-international-law,Human Rights in International Law,19,primary,report,Draft conclusions on peremptory norms of general international law jus cogens,International Law Commission,2022,,https://legal.un.org/ilc/texts/instruments/english/draft_articles/1_14_2022.pdf,Jus cogens materials
human-rights-international-law,Human Rights in International Law,2,primary,resolution,Universal Declaration of Human Rights,United Nations General Assembly,1948,,https://www.un.org/en/about-us/universal-declaration-of-human-rights,UDHR official text
human-rights-international-law,Human Rights in International Law,3,primary,resolution,Universal Declaration of Human Rights OHCHR,OHCHR,1948,,https://www.ohchr.org/en/universal-declaration-of-human-rights,OHCHR UDHR page
human-rights-international-law,Human Rights in International Law,4,primary,other,International Human Rights Law,OHCHR,n.d.,,https://www.ohchr.org/en/instruments-and-mechanisms/international-human-rights-law,OHCHR overview of international human rights law
human-rights-international-law,Human Rights in International Law,5,primary,treaty,International Covenant on Civil and Political Rights,OHCHR,1966,,https://www.ohchr.org/en/instruments-mechanisms/instruments/international-covenant-civil-and-political-rights,ICCPR official text
human-rights-international-law,Human Rights in International Law,6,primary,treaty,International Covenant on Economic Social and Cultural Rights,OHCHR,1966,,https://www.ohchr.org/en/instruments-mechanisms/instruments/international-covenant-economic-social-and-cultural-rights,ICESCR official text
human-rights-international-law,Human Rights in International Law,7,primary,treaty,Core International Human Rights Instruments and monitoring bodies,OHCHR,n.d.,,https://www.ohchr.org/en/core-international-human-rights-instruments-and-their-monitoring-bodies,Core treaties and treaty bodies
human-rights-international-law,Human Rights in International Law,8,primary,treaty,Treaty Bodies,OHCHR,n.d.,,https://www.ohchr.org/en/treaty-bodies,OHCHR treaty bodies overview
human-rights-international-law,Human Rights in International Law,9,primary,treaty,Instruments and mechanisms,OHCHR,n.d.,,https://www.ohchr.org/en/instruments-and-mechanisms,OHCHR overview of treaty-based and Charter-based mechanisms
human-rights-international-law,Human Rights in International Law,1,secondary,secondary_source,International Human Rights,Alston Philip and Goodman Ryan,2013,Oxford University Press,https://global.oup.com/academic/product/international-human-rights-9780199578726,Comprehensive human-rights casebook
human-rights-international-law,Human Rights in International Law,2,secondary,secondary_source,Universal Human Rights in Theory and Practice,Donnelly Jack,2013,Cornell University Press,https://www.cornellpress.cornell.edu/book/9780801477706/universal-human-rights-in-theory-and-practice/,Classic theoretical account of human rights
human-rights-international-law,Human Rights in International Law,3,secondary,secondary_source,The Last Utopia: Human Rights in History,Moyn Samuel,2010,Harvard University Press,https://www.hup.harvard.edu/books/9780674064348,Historical account of human-rights politics
human-rights-international-law,Human Rights in International Law,4,secondary,secondary_source,Human Rights: A Political and Cultural Critique,Mutua Makau,2002,University of Pennsylvania Press,https://www.pennpress.org/9780812218138/human-rights/,Critical account of human rights and power
human-rights-international-law,Human Rights in International Law,5,secondary,secondary_source,International Law,Shaw Malcolm N,2021,Cambridge University Press,https://www.cambridge.org/highereducation/books/international-law/2AB3E3A1B863D0F1D9B22F7862B1F0F1,General international law textbook
human-rights-international-law,Human Rights in International Law,6,secondary,secondary_source,Imperialism Sovereignty and the Making of International Law,Anghie Antony,2004,Cambridge University Press,https://www.cambridge.org/core/books/imperialism-sovereignty-and-the-making-of-international-law/8A9B9D74AAB7CA2D7B7D4D83A7E9D59A,Postcolonial critique relevant to human rights and sovereignty
human-rights-international-law,Human Rights in International Law,7,secondary,secondary_source,United Nations Audiovisual Library of International Law,United Nations,n.d.,United Nations,https://legal.un.org/avl/,Primary and expert international law resources
