article_id,article_title,source_id,source_kind,source_type,title,author_or_institution,year,publisher,url,notes
public-vs-private-international-law,Public vs Private International Law,1,primary,treaty,Statute of the International Court of Justice,International Court of Justice,1945,,https://www.icj-cij.org/statute,Article 38 and sources of public international law
public-vs-private-international-law,Public vs Private International Law,10,primary,treaty,Hague Judgments Convention full text,HCCH,2019,,https://www.hcch.net/en/instruments/conventions/full-text/?cid=137,Recognition and enforcement of judgments in civil or commercial matters
public-vs-private-international-law,Public vs Private International Law,11,primary,treaty,ICSID Convention overview,ICSID,1965,,https://icsid.worldbank.org/resources/rules-and-regulations/convention/overview,ICSID Convention overview
public-vs-private-international-law,Public vs Private International Law,12,primary,treaty,ICSID Convention Regulations and Rules,ICSID,1965,,https://icsid.worldbank.org/rules-regulations/convention,ICSID convention resources
public-vs-private-international-law,Public vs Private International Law,13,primary,case,ICC International Court of Arbitration,International Chamber of Commerce,2026,,https://iccwbo.org/dispute-resolution/dispute-resolution-services/icc-international-court-of-arbitration/,ICC arbitration institution information
public-vs-private-international-law,Public vs Private International Law,14,primary,case,ICC Arbitration,International Chamber of Commerce,2026,,https://iccwbo.org/dispute-resolution/dispute-resolution-services/arbitration/,ICC arbitration services overview
public-vs-private-international-law,Public vs Private International Law,2,primary,treaty,Statute of the International Court of Justice,United Nations,1945,,https://www.un.org/en/about-us/un-charter/statute-of-the-international-court-of-justice,UN version of ICJ Statute
public-vs-private-international-law,Public vs Private International Law,3,primary,treaty,Charter of the United Nations full text,United Nations,1945,,https://www.un.org/en/about-us/un-charter/full-text,Foundational public international law instrument
public-vs-private-international-law,Public vs Private International Law,4,primary,other,Hague Conference on Private International Law home,HCCH,2026,,https://www.hcch.net/en/home,World organisation for cross-border cooperation in civil and commercial matters
public-vs-private-international-law,Public vs Private International Law,5,primary,other,About HCCH,HCCH,2026,,https://www.hcch.net/en/about,Institutional background and mandate
public-vs-private-international-law,Public vs Private International Law,6,primary,treaty,Conventions and other instruments,HCCH,2026,,https://www.hcch.net/en/instruments/conventions,HCCH convention list
public-vs-private-international-law,Public vs Private International Law,7,primary,treaty,Hague Service Convention full text,HCCH,1965,,https://www.hcch.net/en/instruments/conventions/full-text/?cid=17,Service abroad of judicial and extrajudicial documents
public-vs-private-international-law,Public vs Private International Law,8,primary,treaty,Hague Service Convention PDF,HCCH,1965,,https://assets.hcch.net/docs/f4520725-8cbd-4c71-b402-5aae1994d14c.pdf,Official PDF full text
public-vs-private-international-law,Public vs Private International Law,9,primary,treaty,Hague Choice of Court Convention full text,HCCH,2005,,https://www.hcch.net/en/instruments/conventions/full-text/?cid=98,Exclusive choice of court agreements
public-vs-private-international-law,Public vs Private International Law,1,secondary,secondary_source,Brownlie's Principles of Public International Law,Crawford James,2019,Oxford University Press,https://global.oup.com/academic/product/brownlies-principles-of-public-international-law-9780198737445,Public international law reference
public-vs-private-international-law,Public vs Private International Law,2,secondary,secondary_source,International Law,Shaw Malcolm N,2021,Cambridge University Press,https://www.cambridge.org/highereducation/books/international-law/2AB3E3A1B863D0F1D9B22F7862B1F0F1,General public international law textbook
public-vs-private-international-law,Public vs Private International Law,3,secondary,secondary_source,The Confluence of Public and Private International Law,Mills Alex,2018,Cambridge University Press,https://www.cambridge.org/core/books/confluence-of-public-and-private-international-law/285A0C54E7F35996359D3C03A86BEAC3,Public/private international law overlap
public-vs-private-international-law,Public vs Private International Law,4,secondary,secondary_source,The Rome II Regulation: The Law Applicable to Non-Contractual Obligations,Dickinson Andrew,2021,Oxford University Press,https://global.oup.com/academic/product/the-rome-ii-regulation-9780199588466,Private international law and applicable law
public-vs-private-international-law,Public vs Private International Law,5,secondary,secondary_source,The Conflict of Laws,Briggs Adrian,2019,Oxford University Press,https://global.oup.com/academic/product/the-conflict-of-laws-9780198838500,Conflict of laws reference
public-vs-private-international-law,Public vs Private International Law,6,secondary,secondary_source,International Commercial Litigation,Hartley Trevor,2017,Cambridge University Press,https://www.cambridge.org/core/books/international-commercial-litigation/F7437112F7D61217B69476A1D495F57D,Private international litigation reference
public-vs-private-international-law,Public vs Private International Law,7,secondary,secondary_source,United Nations Audiovisual Library of International Law,United Nations Audiovisual Library of International Law,n.d.,United Nations,https://legal.un.org/avl/,Primary and expert international law resources
