source_id,source_title,source_type,institution,year,url,notes
ia-psd-pri-001,"Charter of the United Nations, Article 33",treaty,United Nations,1945,https://www.un.org/en/about-us/un-charter/chapter-6,"Foundational peaceful-settlement provision listing negotiation, enquiry, mediation, conciliation, arbitration, judicial settlement, regional agencies, and other peaceful means."
ia-psd-pri-002,"Charter of the United Nations, Article 2(3)",treaty,United Nations,1945,https://www.un.org/en/about-us/un-charter/chapter-1,Requires members to settle international disputes by peaceful means.
ia-psd-pri-003,Convention for the Pacific Settlement of International Disputes,treaty,Permanent Court of Arbitration / Hague Peace Conference,1899/1907,https://pca-cpa.org/en/about/introduction/history/,Historical foundation for the Permanent Court of Arbitration and modern institutional arbitration.
ia-psd-pri-004,Permanent Court of Arbitration — About / History,institutional_material,Permanent Court of Arbitration,n.d.,https://pca-cpa.org/en/about/introduction/history/,Institutional background on the PCA and its role in international arbitration.
ia-psd-pri-005,UNCLOS Annex VII Arbitration,treaty_procedure,United Nations Convention on the Law of the Sea,1982,https://www.un.org/depts/los/convention_agreements/texts/unclos/annex7.htm,Default arbitration mechanism for certain law-of-the-sea disputes.
ia-psd-pri-006,Convention on the Recognition and Enforcement of Foreign Arbitral Awards,treaty,United Nations / UNCITRAL,1958,https://uncitral.un.org/en/texts/arbitration/conventions/foreign_arbitral_awards,New York Convention framework for recognition and enforcement of foreign arbitral awards.
ia-psd-pri-007,UNCITRAL Arbitration Rules,rules,UNCITRAL,1976/2010/2013/2021,https://uncitral.un.org/en/texts/arbitration/contractualtexts/arbitration,Widely used procedural rules for ad hoc and administered arbitration.
ia-psd-pri-008,ICSID Convention,treaty,International Centre for Settlement of Investment Disputes,1965,https://icsid.worldbank.org/resources/rules-and-regulations/convention/overview,Framework for arbitration and conciliation of investment disputes between states and nationals of other states.
ia-psd-pri-009,ICSID Arbitration Rules,rules,International Centre for Settlement of Investment Disputes,2022,https://icsid.worldbank.org/resources/rules-and-regulations/arbitration-rules,Procedural rules for ICSID arbitration.
ia-psd-pri-010,UNCITRAL Rules on Transparency in Treaty-based Investor-State Arbitration,rules,UNCITRAL,2014,https://uncitral.un.org/en/texts/arbitration/contractualtexts/transparency,Transparency framework for treaty-based investor-state arbitration.
ia-psd-pri-011,United Nations Convention on Transparency in Treaty-based Investor-State Arbitration,treaty,United Nations / UNCITRAL,2014,https://uncitral.un.org/en/texts/arbitration/conventions/transparency,Mauritius Convention on Transparency.
ia-psd-pri-012,South China Sea Arbitration,case_award,Permanent Court of Arbitration / UNCLOS Annex VII Tribunal,2016,https://pca-cpa.org/en/cases/7/,Major example of UNCLOS Annex VII arbitration and non-appearance issues.
