source_id,source_title,source_type,institution,year,url,notes
1,Vienna Convention on Diplomatic Relations,treaty,United Nations,1961,https://legal.un.org/ilc/texts/instruments/english/conventions/9_1_1961.pdf,Core treaty on diplomatic relations privileges and immunities
2,Vienna Convention on Diplomatic Relations,official legal resource,United Nations Audiovisual Library of International Law,n.d.,https://legal.un.org/avl/ha/vcdr/vcdr.html,UN AVL summary and materials
3,Vienna Convention on Consular Relations,treaty,United Nations,1963,https://legal.un.org/ilc/texts/instruments/english/conventions/9_2_1963.pdf,Core treaty on consular relations privileges and immunities
4,United Nations Convention on Jurisdictional Immunities of States and Their Property,treaty,United Nations,2004,https://legal.un.org/ilc/texts/instruments/english/conventions/4_1_2004.pdf,General state-immunity convention
5,United Nations Convention on Jurisdictional Immunities of States and Their Property,official legal resource,United Nations Audiovisual Library of International Law,n.d.,https://legal.un.org/avl/ha/cjistp/cjistp.html,UN AVL summary and materials
6,United Nations Convention on Jurisdictional Immunities of States and Their Property Status,treaty status,United Nations Treaty Collection,2026,https://treaties.un.org/pages/ViewDetails.aspx?chapter=3&clang=_en&mtdsg_no=III-13&src=IND,Status page noting not yet in force as of 2026-05-06
7,Convention on the Prevention and Punishment of Crimes against Internationally Protected Persons including Diplomatic Agents,treaty,United Nations,1973,https://legal.un.org/ilc/texts/instruments/english/conventions/9_4_1973.pdf,Protection of internationally protected persons including diplomatic agents
8,Convention on Internationally Protected Persons,official legal resource,United Nations Audiovisual Library of International Law,n.d.,https://legal.un.org/avl/ha/cppcipp/cppcipp.html,UN AVL summary and materials
9,United States Diplomatic and Consular Staff in Tehran,ICJ case,International Court of Justice,1980,https://www.icj-cij.org/case/64,ICJ case page on diplomatic and consular inviolability
10,United States Diplomatic and Consular Staff in Tehran Judgments,ICJ judgment,International Court of Justice,1980,https://www.icj-cij.org/case/64/judgments,Judgment and orders
11,Arrest Warrant of 11 April 2000,ICJ case,International Court of Justice,2002,https://www.icj-cij.org/case/121,ICJ case page on incumbent foreign minister immunity
12,Arrest Warrant of 11 April 2000 Judgments,ICJ judgment,International Court of Justice,2002,https://www.icj-cij.org/case/121/judgments,Judgment page
13,Jurisdictional Immunities of the State,ICJ case,International Court of Justice,2012,https://www.icj-cij.org/case/143,ICJ case page on state immunity and grave wartime acts
14,Jurisdictional Immunities of the State Judgments,ICJ judgment,International Court of Justice,2012,https://www.icj-cij.org/case/143/judgments,Judgment page
15,Certain Iranian Assets,ICJ case,International Court of Justice,2023,https://www.icj-cij.org/case/164,ICJ case involving Iran United States and property/immunity-related issues
16,Statement on attack on diplomatic premises of Iran in Damascus,UN statement,United Nations Secretary-General,2024,https://www.un.org/sg/en/content/sg/statements/2024-04-02/statement-attributable-the-spokesperson-for-the-secretary-general-the-attack-diplomatic-premises-of-the-islamic-republic-of-iran-damascus,Secretary-General condemnation of attack on diplomatic premises
17,Israel and Iran must de-escalate conflict to protect human rights warn UN experts,expert statement,OHCHR,2024,https://www.ohchr.org/en/press-releases/2024/04/israel-and-iran-must-de-escalate-conflict-protect-human-rights-warn-un,OHCHR experts on Damascus strike use of force and protected persons
18,Immunity of State officials from foreign criminal jurisdiction,ILC topic page,International Law Commission,2026,https://legal.un.org/ilc/summaries/4_2.shtml,ILC summary and ongoing work
19,Immunity of State officials from foreign criminal jurisdiction Guide,ILC topic guide,International Law Commission,2026,https://legal.un.org/ilc/guide/4_2.shtml,ILC reports and draft articles references
20,Immunity of State officials from foreign criminal jurisdiction chapter,ILC report,International Law Commission,2022,https://legal.un.org/ilc/reports/2022/english/chp6.pdf,First-reading draft articles and commentaries
