policy_area,trade_law_pressure,autonomy_question
Public health,SPS TRIPS TBT and market-access rules,Can states protect health without unjustified trade restriction
Climate policy,Subsidies border measures standards procurement,Can states decarbonize while respecting trade disciplines
Food safety,SPS science and risk-assessment requirements,How much precaution is allowed under uncertainty
Digital regulation,Services e-commerce data rules and platform regulation,How can states govern data flows and digital markets
Industrial policy,Subsidies procurement local content and tax incentives,When does development strategy become trade distortion
Labor and human rights,Product bans due diligence import restrictions,How can trade respond to forced labor or rights violations
National security,Security exceptions export controls sanctions,Can security claims be legally reviewed
Development,Special treatment preferences capacity building,How much flexibility should poorer states receive
Environment,Article XX TBT SPS fisheries subsidies,How can trade rules support ecological limits
Cultural policy,Services audiovisual goods and digital platforms,Can states protect cultural diversity in open markets
