agreement,short_name,main_function,article_use
Marrakesh Agreement Establishing the WTO,WTO Agreement,Creates WTO institutional architecture and treaty package,Use to explain the legal order of global commerce as an institution
General Agreement on Tariffs and Trade 1994,GATT 1994,Disciplines goods trade tariffs non-discrimination and exceptions,Use for market access MFN national treatment and Article XX analysis
General Agreement on Trade in Services,GATS,Disciplines international trade in services through modes and schedules,Use for services commitments domestic regulation and market access
Trade-Related Aspects of Intellectual Property Rights,TRIPS,Sets minimum IP standards within the WTO system,Use for patents medicines copyright technology and development conflicts
Technical Barriers to Trade Agreement,TBT,Disciplines technical regulations standards and conformity assessment,Use for product regulation labeling standards and transparency
Sanitary and Phytosanitary Measures Agreement,SPS,Disciplines food safety animal health and plant health measures,Use for science risk assessment and health-based trade disputes
Subsidies and Countervailing Measures Agreement,SCM,Disciplines subsidies and countervailing duties,Use for industrial policy green subsidies and unfair competition
Anti-Dumping Agreement,ADA,Disciplines anti-dumping investigations and duties,Use for price discrimination injury and trade-remedy practice
Safeguards Agreement,SA,Disciplines temporary measures against import surges,Use for emergency protection and adjustment
Dispute Settlement Understanding,DSU,Creates WTO panel appeal compliance and retaliation procedures,Use for legalization compliance crisis and reform
Trade Facilitation Agreement,TFA,Modernizes customs procedures and border processes,Use for customs simplification and development implementation
Agreement on Fisheries Subsidies,AFS,Addresses harmful fisheries subsidies,Use for trade environment and ocean sustainability connections
