stage,legal_function,practical_issue
Consultations,Requires parties to attempt negotiated settlement before litigation,Frames dispute politically and narrows claims
Panel establishment,Creates adjudicatory body to hear claims,Requires clear legal claims and covered agreements
Written submissions,Develops legal and factual record,Turns trade conflict into treaty interpretation and evidence
Panel report,Finds consistency or inconsistency with WTO obligations,Clarifies law but may not resolve politics
Appeal or appeal into the void,Historically allowed appellate review but currently affected by Appellate Body vacancies,Creates uncertainty where appellate function is blocked
Adoption,DSB adopts reports unless negative consensus prevents adoption,Converts adjudicatory findings into WTO legal outcomes
Reasonable period,Allows implementation time after adverse ruling,Connects legal judgment to domestic policy adjustment
Compliance proceedings,Tests whether revised measures comply,Often becomes second litigation
Retaliation or compensation,Allows authorized suspension of concessions when compliance fails,Enforces through trade pressure rather than centralized sanctions
Reform,Addresses paralysis legitimacy and institutional design,Determines whether WTO dispute settlement remains effective
