area,core_question,legal_tools,governance_tension
Market access,How do states limit trade barriers without eliminating all policy choice?,Tariff bindings quotas MFN schedules customs rules,Liberalization versus domestic policy space
Non-discrimination,How are like foreign and domestic products or services treated?,MFN national treatment likeness less favourable treatment,Formal equality versus regulatory difference
Services,How does trade law govern cross-border services and commercial presence?,GATS modes commitments limitations domestic regulation,Market access versus public-service regulation
Intellectual property,How does trade law protect IP while preserving public-interest flexibility?,TRIPS patents copyright trademarks compulsory licensing,Innovation incentives versus access and development
Technical regulation,How are product standards and technical rules disciplined?,TBT agreement standards conformity assessment transparency,Regulatory autonomy versus disguised protectionism
Sanitary measures,How are food safety animal health and plant health rules assessed?,SPS agreement science risk assessment necessity equivalence,Health protection versus trade restriction
Subsidies,When does public support distort trade?,SCM agreement specificity prohibited subsidies actionable subsidies,Industrial policy versus unfair competition
Trade remedies,When may states respond to import surges or unfair trade?,Anti-dumping countervailing safeguards,Protection against injury versus protectionism
Dispute settlement,How are trade disputes legalized and enforced?,DSU panels appellate review retaliation compliance,Rule adjudication versus political blockage
Development,How does the trade order address unequal capacity?,Special and differential treatment Aid for Trade preferences,Integration versus structural asymmetry
Environment and climate,How do trade rules interact with ecological regulation?,General exceptions environmental measures border measures fisheries subsidies,Open commerce versus planetary limits
National security,How do trade rules respond to security claims?,GATT Article XXI security exceptions sanctions export controls,Legal constraint versus sovereign discretion
