source_id,source_title,source_type,institution,year,url,notes
1,Charter of the United Nations full text,treaty,United Nations,1945,https://www.un.org/en/about-us/un-charter/full-text,Article 2(4) and territorial integrity
2,Island of Palmas case Netherlands USA,arbitral award,United Nations Reports of International Arbitral Awards,1928,https://legal.un.org/riaa/cases/vol_ii/829-871.pdf,Classic award on territorial sovereignty and effective control
3,Island of Palmas PCA case page,arbitral case,Permanent Court of Arbitration,1928,https://pca-cpa.org/en/cases/94/,PCA case page
4,Frontier Dispute Burkina Faso Mali,ICJ case,International Court of Justice,1986,https://www.icj-cij.org/case/69,Uti possidetis and colonial boundaries
5,Frontier Dispute Judgment,ICJ judgment,International Court of Justice,1986,https://www.icj-cij.org/node/100989,Judgment materials
6,Temple of Preah Vihear Cambodia v Thailand,ICJ case,International Court of Justice,1962,https://www.icj-cij.org/case/45,Maps acquiescence and territorial sovereignty
7,Temple of Preah Vihear Judgment,ICJ judgment,International Court of Justice,1962,https://www.icj-cij.org/node/103120,Judgment materials
8,Land and Maritime Boundary between Cameroon and Nigeria,ICJ case,International Court of Justice,2002,https://www.icj-cij.org/case/94,Bakassi Peninsula and land/maritime boundary
9,Land and Maritime Boundary Judgment,ICJ judgment,International Court of Justice,2002,https://www.icj-cij.org/node/101534,Judgment materials
10,Territorial and Maritime Dispute Nicaragua v Colombia,ICJ case,International Court of Justice,2012,https://www.icj-cij.org/case/124,Island sovereignty and maritime boundary
11,Territorial and Maritime Dispute Judgment,ICJ judgment,International Court of Justice,2012,https://www.icj-cij.org/node/102086,Judgment materials
12,Dispute regarding Navigational and Related Rights Costa Rica v Nicaragua,ICJ case,International Court of Justice,2009,https://www.icj-cij.org/case/133,River navigation and boundary treaty interpretation
13,Dispute regarding Navigational and Related Rights Judgment,ICJ judgment,International Court of Justice,2009,https://www.icj-cij.org/node/101970,Judgment materials
14,United Nations Convention on the Law of the Sea,treaty,United Nations,1982,https://www.un.org/depts/los/convention_agreements/texts/unclos/unclos_e.pdf,Maritime zones and delimitation
15,UNCLOS overview,official resource,United Nations Division for Ocean Affairs and the Law of the Sea,n.d.,https://www.un.org/depts/los/convention_agreements/convention_overview_convention.htm,Official UNCLOS overview
