case_id,case_title,year,proceeding_type,legal_area,key_issue,url
nicaragua_1986,Military and Paramilitary Activities in and against Nicaragua,1986,contentious,use_of_force,"Self-defense, intervention, attribution, customary international law",https://www.icj-cij.org/case/70
bosnia_genocide_2007,Bosnia and Herzegovina v. Serbia and Montenegro,2007,contentious,genocide,"State responsibility, prevention, punishment, attribution",https://www.icj-cij.org/case/91
wall_2004,Legal Consequences of the Construction of a Wall in the Occupied Palestinian Territory,2004,advisory,occupation_self_determination,"Occupation, self-determination, humanitarian law, third-state obligations",https://www.icj-cij.org/case/131
kosovo_2010,Kosovo Advisory Opinion,2010,advisory,statehood_self_determination,Unilateral declaration of independence and contested statehood,https://www.icj-cij.org/case/141
chagos_2019,Chagos Advisory Opinion,2019,advisory,decolonization,"Self-determination, decolonization, territorial integrity",https://www.icj-cij.org/case/169
gambia_myanmar_2019,The Gambia v. Myanmar,2019,contentious,genocide,Genocide Convention obligations erga omnes partes and provisional measures,https://www.icj-cij.org/case/178
opt_2024,Occupied Palestinian Territory Advisory Opinion,2024,advisory,occupation_self_determination,"Unlawful presence, non-recognition, non-assistance, legal consequences",https://www.icj-cij.org/case/186
south_africa_israel_2023,South Africa v. Israel,2023,contentious,genocide,"Genocide Convention, provisional measures, Gaza",https://www.icj-cij.org/case/192
north_sea_1969,North Sea Continental Shelf,1969,contentious,maritime_custom,Continental shelf delimitation and customary international law,https://www.icj-cij.org/case/51
qatar_bahrain_2001,Qatar v. Bahrain,2001,contentious,territory_maritime,Territorial questions and maritime delimitation,https://www.icj-cij.org/case/87
cameroon_nigeria_2002,Cameroon v. Nigeria,2002,contentious,boundary,Land and maritime boundary; implementation,https://www.icj-cij.org/case/94
